漱洗	shu4'xi3
四不像	si4'bu4'xiang4
送气	song4'qi4
素昧平生	su4'mei4'ping2'sheng1
随身听	sui2'shen1'ting1
随缘	sui2'yuan2
琐细	suo3'xi4
谈虎色变	tan2'hu3'se4'bian4
逃奔	tao2'ben4
田园诗	tian2'yuan2'shi1
填料	tian2'liao4
跳蚤市场	tiao4'zao'shi4'chang3
同房	tong2'fang2
铜版纸	tong2'ban3'zhi3
头羊	tou2'yang2
托生	tuo1'sheng1
外道	wai4'dao4
晚生	wan3'sheng1
围场	wei2'chang3
围聚	wei2'ju4
为民请命	wei4'min2'qing3'ming4
文火	wen2'huo3
窝囊气	wo1'nang'qi4
窝心	wo1'xin1
无伤大雅	wu2'shang1'da4'ya3
无上	wu2'shang4
五味	wu3'wei4
雾蒙蒙	wu4'meng2'meng2
熹微	xi1'wei1
暇时	xia2'shi2
下馆子	xia4'guan3'zi3
下江	xia4'jiang1
闲钱	xian2'qian2
闲杂	xian2'za2
献丑	xian4'chou3
献技	xian4'ji4
相托	xiang1'tuo1
小偷小摸	xiao3'tou1'xiao3'mo1
胸骨	xiong1'gu3
胸围	xiong1'wei2
穴居	xue2'ju1
押车	ya1'che1
烟馆	yan1'guan3
延展	yan2'zhan3
严丝合缝	yan2'si1'he2'feng4
一唱一和	yi1'chang4'yi1'he4
以退为进	yi3'tui4'wei2'jin4
甬路	yong3'lu4
悠悠然	you1'you1'ran2
邮车	you2'che1
油泥	you2'ni2
油腔滑调	you2'qiang1'hua2'diao4
游艺会	you2'yi4'hui4
右方	you4'fang1
幼弱	you4'ruo4
幼芽	you4'ya2
语病	yu3'bing4
玉兔	yu4'tu4
园田	yuan2'tian2
圆规	yuan2'gui1
云头	yun2'tou2
簪子	zan1'zi3
招认	zhao1'ren4
针眼	zhen1'yan3
震灾	zhen4'zai1
知交	zhi1'jiao1
直拨	zhi2'bo1
纸老虎	zhi3'lao3'hu3
猪栏	zhu1'lan2
猪猡	zhu1'luo2
竹叶青	zhu2'ye4'qing1
砖坯	zhuan1'pi1
转存	zhuan3'cun2
着笔	zhuo2'bi3
资望	zi1'wang4
自费生	zi4'fei4'sheng1
作保	zuo4'bao3
暗无天日	an4'wu2'tian1'ri4
暗语	an4'yu3
百宝箱	bai3'bao3'xiang1
半票	ban4'piao4
鸨母	bao3'mu3
笔伐	bi3'fa2
表面化	biao3'mian4'hua4
菜油	cai4'you2
茶汤	cha2'tang1
畅达	chang4'da2
沉疴	chen2'ke1
晨星	chen2'xing1
称快	cheng1'kuai4
成年累月	cheng2'nian2'lei3'yue4
成药	cheng2'yao4
承当	cheng2'dang1
吃不住	chi1'bu'zhu4
重版	chong2'ban3
除法	chu2'fa3
川菜	chuan1'cai4
船篷	chuan2'peng2
垂老	chui2'lao3
春灌	chun1'guan4
从善如流	cong2'shan4'ru2'liu2
从征	cong2'zheng1
粗硬	cu1'ying4
村规民约	cun1'gui1'min2'yue1
寸心	cun4'xin1
答问	da2'wen4
大彻大悟	da4'che4'da4'wu4
大慈大悲	da4'ci2'da4'bei1
单字	dan1'zi4
叨念	dao1'nian4
低耗	di1'hao4
涤荡	di2'dang4
抵押品	di3'ya1'pin3
地支	di4'zhi1
殿宇	dian4'yu3
雕梁画栋	diao1'liang2'hua4'dong4
盯梢	ding1'shao1
独苗	du2'miao2
短句	duan3'ju4
多向	duo1'xiang4
讹传	e2'chuan2
发送	fa1'song
房脊	fang2'ji3
废弛	fei4'chi2
疯人院	feng1'ren2'yuan4
奉迎	feng4'ying2
干货	gan1'huo4
干支	gan1'zhi1
钢梁	gang1'liang2
告吹	gao4'chui1
公国	gong1'guo2
骨朵儿	gu1'duo'er
骨子	gu3'zi
罐头盒	guan4'tou2'he2
汗渍	han4'zi4
旱田	han4'tian2
河身	he2'shen1
狐假虎威	hu2'jia3'hu3'wei1
唬人	hu3'ren2
花房	hua1'fang2
花架	hua1'jia4
欢声雷动	huan1'sheng1'lei2'dong4
慌里慌张	huang1'li3'huang1'zhang1
黄鹏	huang2'peng2
黄种人	huang2'zhong3'ren2
回水	hui2'shui3
活字	huo2'zi4
火罐儿	huo3'guan4'er
