暴殄天物	bao4'tian3'tian1'wu4
贝母	bei4'mu3
背对背	bei4'dui4'bei4
迸溅	beng4'jian4
鼻塞	bi2'se4
碧螺春	bi4'luo2'chun1
弊害	bi4'hai4
便盆	bian4'pen2
冰碴儿	bing1'cha2'er
播讲	bo1'jiang3
不足为训	bu4'zu2'wei2'xun4
参透	can1'tou4
残敌	can2'di2
草莽英雄	cao3'mang3'ying1'xiong2
插秧机	cha1'yang1'ji1
查夜	cha2'ye4
拆建	chai1'jian4
蝉蜕	chan2'tui4
车帮	che1'bang1
车篷	che1'peng2
诚朴	cheng2'pu3
宠辱不惊	chong3'ru3'bu4'jing1
仇隙	chou2'xi4
臭名远扬	chou4'ming2'yuan3'yang2
处身	chu3'shen1
吹风机	chui1'feng1'ji1
垂怜	chui2'lian2
瓷实	ci2'shi2
忖量	cun3'liang4
寸草	cun4'cao3
嵯峨	cuo2'e2
搭盖	da1'gai4
打卦	da3'gua4
打马虎眼	da3'ma3'hu'yan3
大材小用	da4'cai2'xiao3'yong4
大过	da4'guo4
大暑	da4'shu3
胆力	dan3'li4
刀笔	dao1'bi3
导源	dao3'yuan2
电复	dian4'fu4
刁蛮	diao1'man2
吊扇	diao4'shan4
定钱	ding4'qian2
定向生	ding4'xiang4'sheng1
定心	ding4'xin1
毒汁	du2'zhi1
睹物思人	du3'wu4'si1'ren2
椴树	duan4'shu4
蹲伏	dun1'fu2
恩将仇报	en1'jiang1'chou2'bao4
儿郎	er2'lang2
耳边风	er3'bian1'feng1
烦劳	fan2'lao2
反诬	fan3'wu1
反语	fan3'yu3
返祖	fan3'zu3
纺机	fang3'ji1
风色	feng1'se4
风涛	feng1'tao1
赴敌	fu4'di2
咖喱	ga1'li2
改向	gai3'xiang4
干爸	gan1'ba4
钢丝床	gang1'si1'chuang2
高压电	gao1'ya1'dian4
袼褙	ge1'bei4
格杀勿论	ge2'sha1'wu4'lun4
根绝	gen1'jue2
够本	gou4'ben3
古道热肠	gu3'dao4're4'chang2
挂机	gua4'ji1
观赏鱼	guan1'shang3'yu2
归西	gui1'xi1
国医	guo2'yi1
海葬	hai3'zang4
含沙射影	han2'sha1'she4'ying3
函授大学	han2'shou4'da4'xue2
旱象	han4'xiang4
好言	hao3'yan2
合家欢	he2'jia1'huan1
红人	hong2'ren2
后妻	hou4'qi1
狐臭	hu2'chou4
花拳绣腿	hua1'quan2'xiu4'tui3
花生仁儿	hua1'sheng1'ren2'er
滑冰场	hua2'bing1'chang3
滑石粉	hua2'shi2'fen3
欢慰	huan1'wei4
还阳	huan2'yang2
幻听	huan4'ting1
黄历	huang2'li4
黄热病	huang2're4'bing4
会剿	hui4'jiao3
会章	hui4'zhang1
活脱	huo2'tuo1
火钳	huo3'qian2
和稀泥	huo4'xi1'ni2
货机	huo4'ji1
豁朗	huo4'lang3
急如星火	ji2'ru2'xing1'huo3
加塞儿	jia1'sai1'er
假道学	jia3'dao4'xue2
交通车	jiao1'tong1'che1
交通信号	jiao1'tong1'xin4'hao4
矫饰	jiao3'shi4
芥子气	jie4'zi3'qi4
紧身衣	jin3'shen'yi1
近道	jin4'dao4
近因	jin4'yin1
驹子	ju1'zi3
聚歼	ju4'jian1
卷须	juan3'xu1
决绝	jue2'jue2
皲裂	jun1'lie4
靠泊	kao4'bo2
靠垫	kao4'dian4
客满	ke4'man3
苦撑	ku3'cheng1
苦想	ku3'xiang3
快班	kuai4'ban1
快当	kuai4'dang
魁首	kui2'shou3
老套	lao3'tao4
累死累活	lei3'si3'lei3'huo2
两便	liang3'bian4
缭乱	liao2'luan4
料定	liao4'ding4
临盆	lin2'pen2
临终关怀	lin2'zhong1'guan1'huai2
留传	liu2'chuan2
龙虎斗	long2'hu3'dou3
落水狗	luo4'shui3'gou3
麻酥酥	ma2'su1'su1
马齿苋	ma3'chi3'xian4
麦麸	mai4'fu1
慢车道	man4'che1'dao4
毛背心	mao2'bei4'xin1
毛尖	mao2'jian1
眉睫	mei2'jie2
眉批	mei2'pi1
迷幻药	mi2'huan4'yao4
迷眼	mi2'yan3
密信	mi4'xin4
苗床	miao2'chuang2
名扬四海	ming2'yang2'si4'hai3
抹不开	mo4'bu'kai1
暮秋	mu4'qiu1
内热	nei4're4
内外夹攻	nei4'wai4'jia1'gong1
内争	nei4'zheng1
泥污	ni2'wu1
逆贼	ni4'zei2
捏合	nie1'he2
宁缺毋滥	ning4'que1'wu2'lan4
牛倌	niu2'guan1
女厕	nv3'ce4
跑调	pao3'diao4
票号	piao4'hao4
普度	pu3'du4
气贯长虹	qi4'guan4'chang2'hong2
掐算	qia1'suan4
虔心	qian2'xin1
钱柜	qian2'gui4
潜望镜	qian2'wang4'jing4
乔迁之喜	qiao2'qian1'zhi1'xi3
钦羡	qin1'xian4
亲代	qin1'dai4
亲睹	qin1'du3
晴和	qing2'he2
秋毫	qiu1'hao2
球网	qiu2'wang3
驱驰	qu1'chi2
热狗	re4'gou3
人困马乏	ren2'kun4'ma3'fa2
人言可畏	ren2'yan2'ke3'wei4
认养	ren4'yang3
如丧考妣	ru2'sang4'kao3'bi3
色胆	se4'dan3
杀人灭口	sha1'ren2'mie4'kou3
纱罩	sha1'zhao4
山果	shan1'guo3
商港	shang1'gang3
神笔	shen2'bi3
时疫	shi2'yi4
食具	shi2'ju4
市斤	shi4'jin1
誓约	shi4'yue1
收押	shou1'ya1
手到擒来	shou3'dao4'qin2'lai2
手洗	shou3'xi3
手重	shou3'zhong4
守活寡	shou3'huo2'gua3
寿木	shou4'mu4
受治	shou4'zhi4
兽药	shou4'yao4
耍流氓	shua3'liu2'mang2
水磨石	shui3'mo2'shi2
水瓢	shui3'piao2
顺水人情	shun4'shui3'ren2'qing2
硕大无朋	shuo4'da4'wu2'peng2
私话	si1'hua4
死老虎	si3'lao3'hu3
颂赞	song4'zan4
贪小	tan1'xiao3
淌泪	tang3'lei4
替死鬼	ti4'si3'gui3
天崩地裂	tian1'beng1'di4'lie4
天作之合	tian1'zuo4'zhi1'he2
恬然	tian2'ran2
铁锚	tie3'mao2
听审	ting1'shen3
停播	ting2'bo1
通透	tong1'tou4
同喜	tong2'xi3
完全小学	wan2'quan2'xiao3'xue2
枉杀	wang3'sha1
伟绩	wei3'ji4
卫生筷	wei4'sheng1'kuai4
卧轨	wo4'gui3
无核区	wu2'he2'qu1
五服	wu3'fu2
瞎掰	xia1'bai1
咸肉	xian2'rou4
显形	xian3'xing2
险关	xian3'guan1
现买	xian4'mai3
橡皮图章	xiang4'pi2'tu2'zhang1
销假	xiao1'jia4
小大人儿	xiao3'da4'ren'er
小人得志	xiao3'ren2'de2'zhi4
行腔	xing2'qiang1
休养所	xiu1'yang3'suo3
须根	xu1'gen1
玄孙	xuan2'sun1
血癌	xue4'ai2
烟农	yan1'nong2
严处	yan2'chu3
严紧	yan2'jin3
演武	yan3'wu3
砚池	yan4'chi2
验关	yan4'guan1
佯攻	yang2'gong1
养息	yang3'xi1
妖婆	yao1'po2
药具	yao4'ju4
药膳	yao4'shan4
药针	yao4'zhen1
