高脚杯	gao1'jiao3'bei1
高看	gao1'kan4
公设	gong1'she4
古来	gu3'lai2
关子	guan1'zi3
诡计多端	gui3'ji4'duo1'duan1
锅贴儿	guo1'tie1'er
国故	guo2'gu4
好好先生	hao3'hao3'xian1'sheng
耗油	hao4'you2
和事佬	he2'shi4'lao3
盒子炮	he2'zi3'pao4
红霉素	hong2'mei2'su4
后轮	hou4'lun2
忽隐忽现	hu1'yin3'hu1'xian4
花苞	hua1'bao1
花籽儿	hua1'zi3'er2
毁伤	hui3'shang1
魂牵梦萦	hun2'qian1'meng4'ying2
混血儿	hun4'xue4'er2
货舱	huo4'cang1
激将法	ji1'jiang4'fa3
加急	jia1'ji2
家贼	jia1'zei2
剑眉	jian4'mei2
将令	jiang4'ling4
揭不开锅	jie1'bu'kai1'guo1
节食	jie2'shi2
借刀杀人	jie4'dao1'sha1'ren2
禁欲	jin4'yu4
净是	jing4'shi4
久经沙场	jiu3'jing1'sha1'chang3
绝育	jue2'yu4
开倒车	kai1'dao4'che1
苦酒	ku3'jiu3
旷古	kuang4'gu3
乐极生悲	le4'ji2'sheng1'bei1
类风湿	lei4'feng1'shi1
冷藏车	leng3'cang2'che1
离愁	li2'chou2
立新	li4'xin1
利国利民	li4'guo2'li4'min2
例假	li4'jia4
栗色	li4'se4
粒状	li4'zhuang4
聊以自慰	liao2'yi3'zi4'wei4
令弟	ling4'di4
流浪儿	liu2'lang4'er2
六六六	liu4'liu4'liu4
龙钟	long2'zhong1
漏风	lou4'feng1
略知一二	lve4'zhi1'yi1'er4
论价	lun4'jia4
麻麻亮	ma1'ma'liang4
毛丫头	mao2'ya1'tou2
密告	mi4'gao4
棉籽	mian2'zi3
面善	mian4'shan4
明灭	ming2'mie4
明星队	ming2'xing1'dui4
闹病	nao4'bing4
内外交困	nei4'wai4'jiao1'kun4
黏稠	nian2'chou2
娘胎	niang2'tai1
牛蛙	niu2'wa1
攀越	pan1'yue4
旁观者清	pang2'guan1'zhe3'qing1
炮眼	pao4'yan3
劈波斩浪	pi1'bo1'zhan3'lang4
频度	pin2'du4
启口	qi3'kou3
起止	qi3'zhi3
巧取豪夺	qiao3'qu3'hao2'duo2
青虫	qing1'chong2
轻慢	qing1'man4
秋海棠	qiu1'hai3'tang2
泅渡	qiu2'du4
球台	qiu2'tai2
祛除	qu1'chu2
热肠	re4'chang2
柔肠	rou2'chang2
软管	ruan3'guan3
三百六十行	san1'bai3'liu4'shi2'hang2
三鲜	san1'xian1
沙眼	sha1'yan3
山旮旯儿	shan1'ga1'la2'er
上纲上线	shang4'gang1'shang4'xian4
上弦	shang4'xian2
申说	shen1'shuo1
申冤	shen1'yuan1
身怀绝技	shen1'huai2'jue2'ji4
生僻	sheng1'pi4
生吞活剥	sheng1'tun1'huo2'bo1
手不释卷	shou3'bu4'shi4'juan4
守财奴	shou3'cai2'nu2
水冷	shui3'leng3
寺观	si4'guan4
索解	suo3'jie3
汤团	tang1'tuan2
挑花	tiao3'hua1
铁板一块	tie3'ban3'yi1'kuai4
听会	ting1'hui4
同工同酬	tong2'gong1'tong2'chou2
投枪	tou2'qiang1
拖带	tuo1'dai4
唯其如此	wei2'qi2'ru2'ci3
帷幄	wei2'wo4
纬线	wei3'xian4
胃液	wei4'ye4
文化衫	wen2'hua4'shan1
文身	wen2'shen1
文饰	wen2'shi4
无轨电车	wu2'gui3'dian4'che1
无花果	wu2'hua1'guo3
五里雾	wu3'li3'wu4
舞文弄墨	wu3'wen2'nong4'mo4
物极必反	wu4'ji2'bi4'fan3
西菜	xi1'cai4
淅淅	xi1'xi1
下泻	xia4'xie4
嫌烦	xian2'fan2
线绳	xian4'sheng2
相顾	xiang1'gu4
相见恨晚	xiang1'jian4'hen4'wan3
箱笼	xiang1'long3
小肚子	xiao3'du4'zi
小字辈	xiao3'zi4'bei4
孝子贤孙	xiao4'zi3'xian2'sun1
新欢	xin1'huan1
刑事犯	xing2'shi4'fan4
压气	ya1'qi4
言志	yan2'zhi4
羊奶	yang2'nai3
窑姐儿	yao2'jie3'er
要得	yao4'de2
业大	ye4'da4
夜长梦多	ye4'chang2'meng4'duo1
一半天	yi1'ban4'tian1
一了百了	yi1'liao3'bai3'liao3
医士	yi1'shi4
遗传因子	yi2'chuan2'yin1'zi3
以防不测	yi3'fang2'bu4'ce4
以防万一	yi3'fang2'wan4'yi1
异人	yi4'ren2
音标	yin1'biao1
用心良苦	yong4'xin1'liang2'ku3
诱降	you4'xiang2
岳父母	yue4'fu4'mu3
藏青	zang4'qing1
造字	zao4'zi4
增白剂	zeng1'bai2'ji4
增建	zeng1'jian4
战表	zhan4'biao3
战略物资	zhan4'lve4'wu4'zi1
长官意志	zhang3'guan1'yi4'zhi4
找门路	zhao3'men2'lu4
织女星	zhi1'nv3'xing1
指挥若定	zhi3'hui1'ruo4'ding4
中医师	zhong1'yi1'shi1
终久	zhong1'jiu3
周知	zhou1'zhi1
竹笼	zhu2'long2
走江湖	zou3'jiang1'hu2
