乱码	luan4'ma3
骆驼草	luo4'tuo2'cao3
落槌	luo4'chui2
落地式	luo4'di4'shi4
落墨	luo4'mo4
麦秋	mai4'qiu1
没缘	mei2'yuan2
玫瑰香	mei2'gui1'xiang1
煤焦油	mei2'jiao1'you2
煤气管	mei2'qi4'guan3
门额	men2'e2
密封条	mi4'feng1'tiao2
面斥	mian4'chi4
面神经	mian4'shen2'jing1
明补	ming2'bu3
磨嘴皮	mo2'zui3'pi2
抹子	mo3'zi
奶罩	nai3'zhao4
奶嘴	nai3'zui3
囊空如洗	nang2'kong1'ru2'xi3
铙钹	nao2'bo2
闹意气	nao4'yi4'qi4
内宾	nei4'bin1
内聚力	nei4'ju4'li4
内痔	nei4'zhi4
牛犊子	niu2'du2'zi3
牛性子	niu2'xing4'zi3
浓阴	nong2'yin1
驽钝	nu2'dun4
暖风机	nuan3'feng1'ji1
沤肥	ou4'fei2
攀高枝儿	pan1'gao1'zhi1'er
盘货	pan2'huo4
跑圆场	pao3'yuan2'chang3
炮膛	pao4'tang2
陪祭	pei2'ji4
喷枪	pen1'qiang1
鹏程万里	peng2'cheng2'wan4'li3
披坚执锐	pi1'jian1'zhi2'rui4
皮垫	pi2'dian4
皮筏	pi2'fa2
疲沓	pi2'ta
劈叉	pi3'cha4
偏科	pian1'ke1
凭依	ping2'yi1
普及本	pu3'ji2'ben3
旗装	qi2'zhuang1
企慕	qi3'mu4
起搏器	qi3'bo2'qi4
签到簿	qian1'dao4'bu4
潜返	qian2'fan3
乔其纱	qiao2'qi2'sha1
巧劲儿	qiao3'jin4'er
侵越	qin1'yue4
亲聆	qin1'ling2
勤杂人员	qin2'za2'ren2'yuan2
倾动	qing1'dong4
倾塌	qing1'ta1
清肺	qing1'fei4
清涟	qing1'lian2
穷极无聊	qiong2'ji2'wu2'liao2
穷讲究	qiong2'jiang3'jiu1
茕茕孑立	qiong2'qiong2'jie2'li4
曲意逢迎	qu1'yi4'feng2'ying2
曲终人散	qu3'zhong1'ren2'san4
全勤	quan2'qin2
群魔乱舞	qun2'mo2'luan4'wu3
然诺	ran2'nuo4
人来疯	ren2'lai2'feng1
人寿年丰	ren2'shou4'nian2'feng1
仁人君子	ren2'ren2'jun1'zi3
肉鸽	rou4'ge1
肉丸	rou4'wan2
如次	ru2'ci4
入镜	ru4'jing4
箬笠	ruo4'li4
散置	san4'zhi4
刹把	sha1'ba3
山荒	shan1'huang1
上蜡	shang4'la4
上坡路	shang4'po1'lu4
上元节	shang4'yuan2'jie2
少礼	shao3'li3
少东家	shao4'dong1'jia
舌敝唇焦	she2'bi4'chun2'jiao1
神道碑	shen2'dao4'bei1
肾盂	shen4'yu2
生词	sheng1'ci2
生花妙笔	sheng1'hua1'miao4'bi3
失语症	shi1'yu3'zheng4
石英表	shi2'ying1'biao3
时行	shi2'xing2
使役	shi3'yi4
示波器	shi4'bo1'qi4
试机	shi4'ji1
适逢其会	shi4'feng2'qi2'hui4
收悉	shou1'xi1
书迷	shu1'mi2
述而不作	shu4'er2'bu4'zuo4
耍人	shua3'ren2
耍手艺	shua3'shou3'yi4
耍态度	shua3'tai4'du
涮洗	shuan4'xi3
水中捞月	shui3'zhong1'lao1'yue4
睡裤	shui4'ku4
说不着	shuo1'bu4'zhe
数见不鲜	shuo4'jian4'bu4'xian1
私学	si1'xue2
宋体字	song4'ti3'zi4
速食面	su4'shi2'mian4
碎嘴子	sui4'zui3'zi3
锁边	suo3'bian1
踏看	ta4'kan4
胎毛	tai1'mao2
胎衣	tai1'yi1
台扇	tai2'shan4
太阳电池	tai4'yang2'dian4'chi2
太子参	tai4'zi3'can1
坍陷	tan1'xian4
滩羊	tan1'yang2
糖包	tang2'bao1
桃酥	tao2'su1
陶文	tao2'wen2
套绳	tao4'sheng2
梯恩梯	ti1'en1'ti1
提挈	ti2'qie4
提线木偶	ti2'xian4'mu4'ou3
听装	ting1'zhuang1
停板	ting2'ban3
通勤车	tong1'qin2'che1
铜绿	tong2'lv4
童便	tong2'bian4
偷嘴	tou1'zui3
徒子徒孙	tu2'zi3'tu2'sun1
土筐	tu3'kuang1
吐穗	tu3'sui4
退庭	tui4'ting2
退团	tui4'tuan2
吞灭	tun1'mie4
吞蚀	tun1'shi2
屯聚	tun2'ju4
臀尖	tun2'jian1
脱口秀	tuo1'kou3'xiu4
脱兔	tuo1'tu4
脱盐	tuo1'yan2
外存	wai4'cun2
外港	wai4'gang3
剜肉补疮	wan1'rou4'bu3'chuang1
妄断	wang4'duan4
忘性	wang4'xing4
微火	wei1'huo3
违心之论	wei2'xin1'zhi1'lun4
围击	wei2'ji1
