万全	wan4'quan2
献殷勤	xian4'yin1'qin2
相让	xiang1'rang4
消炎	xiao1'yan2
小型张	xiao3'xing2'zhang1
鞋匠	xie2'jiang4
心寒	xin1'han2
虚设	xu1'she4
循规蹈矩	xun2'gui1'dao3'ju3
雅座	ya3'zuo4
一言为定	yi1'yan2'wei2'ding4
衣箱	yi1'xiang1
夷为平地	yi2'wei2'ping2'de
银币	yin2'bi4
鱼缸	yu2'gang1
鱼米之乡	yu2'mi3'zhi1'xiang1
远房	yuan3'fang2
越野赛	yue4'ye3'sai4
云量	yun2'liang4
再不然	zai4'bu'ran2
渣滓	zha1'zi3
瞻前顾后	zhan1'qian2'gu4'hou4
征稿	zheng1'gao3
整饬	zheng3'chi4
植根	zhi2'gen1
忠魂	zhong1'hun2
主使	zhu3'shi3
主诉	zhu3'su4
自助餐	zi4'zhu4'can1
罪大恶极	zui4'da4'e4'ji2
颁行	ban1'xing2
报功	bao4'gong1
笔头儿	bi3'tou2'er
遍体鳞伤	bian4'ti3'lin2'shang1
辩白	bian4'bai2
补考	bu3'kao3
补品	bu3'pin3
长啸	chang2'xiao4
超薄	chao1'bo2
臭名	chou4'ming2
出尔反尔	chu1'er3'fan3'er3
粗浅	cu1'qian3
大年三十	da4'nian2'san1'shi2
单列	dan1'lie4
倒头	dao3'tou2
点数	dian3'shu4
斗嘴	dou4'zui3
断代	duan4'dai4
多时	duo1'shi2
发胖	fa1'pang4
法老	fa3'lao3
拂袖	fu2'xiu4
负疚	fu4'jiu4
敢问	gan3'wen4
感怀	gan3'huai2
公法	gong1'fa3
行家里手	hang2'jia'li3'shou3
号啕;嚎啕	hao2'tao2
核磁共振	he2'ci2'gong4'zhen4
黑哨	hei1'shao4
昏花	hun1'hua1
混日子	hun4'ri4'zi
积习	ji1'xi2
急骤	ji2'zhou4
急转直下	ji2'zhuan3'zhi2'xia4
夹板	jia1'ban3
肩背	jian1'bei4
肩胛	jian1'jia3
剑拔弩张	jian4'ba2'nu3'zhang1
紧箍咒	jin3'gu1'zhou4
紧锁	jin3'suo3
禁绝	jin4'jue2
经管	jing1'guan3
经验主义	jing1'yan4'zhu3'yi4
警风	jing3'feng1
酒窝	jiu3'wo1
举债	ju3'zhai4
口风	kou3'feng1
枯水期	ku1'shui3'qi1
礼赞	li3'zan4
理工科	li3'gong1'ke1
连体	lian2'ti3
脸盘儿	lian3'pan2'er
落落大方	luo4'luo4'da4'fang1
满目疮痍	man3'mu4'chuang1'yi2
明处	ming2'chu4
摩托艇	mo2'tuo1'ting3
脑神经	nao3'shen2'jing1
谱儿	pu3'er2
旗开得胜	qi2'kai1'de2'sheng4
启运	qi3'yun4
千钧一发	qian1'jun1'yi1'fa4
牵牛花	qian1'niu2'hua1
人浮于事	ren2'fu2'yu2'shi4
忍让	ren3'rang4
射电望远镜	she4'dian4'wang4'yuan3'jing4
莘莘	shen1'shen1
生辰	sheng1'chen2
食言	shi2'yan2
市侩	shi4'kuai4
瘦子	shou4'zi3
双轨	shuang1'gui3
丝织	si1'zhi1
松土	song1'tu3
碎裂	sui4'lie4
踏访	ta4'fang3
踏青	ta4'qing1
太平间	tai4'ping2'jian1
题诗	ti2'shi1
甜味儿	tian2'wei4'er2
跳绳	tiao4'sheng2
铁杆	tie3'gan3
铜墙铁壁	tong2'qiang2'tie3'bi4
涂炭	tu2'tan4
土族	tu3'zu2
无着	wu2'zhe
下联	xia4'lian2
弦子	xian2'zi3
销赃	xiao1'zang1
信任感	xin4'ren4'gan3
行乐	xing2'le4
雄关	xiong2'guan1
养路费	yang3'lu4'fei4
腰椎	yao1'zhui1
摇滚乐	yao2'gun3'yue4
遥遥无期	yao2'yao2'wu2'qi1
以理服人	yi3'li3'fu2'ren2
阴沟	yin1'gou1
英气	ying1'qi4
应召	ying4'zhao4
忧思	you1'si1
悠然自得	you1'ran2'zi4'de2
幼女	you4'nv3
在所不惜	zai4'suo3'bu4'xi1
赠品	zeng4'pin3
展露	zhan3'lu4
展室	zhan3'shi4
镇痛	zhen4'tong4
征讨	zheng1'tao3
智囊团	zhi4'nang2'tuan2
自伤	zi4'shang1
坐堂	zuo4'tang2
爱神	ai4'shen2
安分守己	an1'fen4'shou3'ji3
绑匪	bang3'fei3
