立体电影	li4'ti3'dian4'ying3
例题	li4'ti2
连滚带爬	lian2'gun3'dai4'pa2
连裤袜	lian2'ku4'wa4
帘幕	lian2'mu4
粮行	liang2'xing2
尥蹶子	liao4'jue3'zi
流萤	liu2'ying2
龙爪槐	long2'zhao3'huai2
漏夜	lou4'ye4
露底	lou4'di3
炉温	lu2'wen1
绿葱葱	lv4'cong1'cong1
落发	luo4'fa4
麦糠	mai4'kang1
脉管炎	mai4'guan3'yan2
满当当	man3'dang1'dang1
猫耳洞	mao1'er3'dong4
毛南族	mao2'nan2'zu2
魅人	mei4'ren2
门匾	men2'bian3
门派	men2'pai4
米醋	mi3'cu4
面告	mian4'gao4
面洽	mian4'qia4
名帖	ming2'tie3
摸彩	mo1'cai3
木槿	mu4'jin3
暮景	mu4'jing3
奶名	nai3'ming2
囊中物	nang2'zhong1'wu4
脑充血	nao3'chong1'xue4
闹戏	nao4'xi4
内当家	nei4'dang1'jia1
内陆国	nei4'lu4'guo2
内详	nei4'xiang2
拈轻怕重	nian1'qing1'pa4'zhong4
年高德劭	nian2'gao1'de2'shao4
凝缩	ning2'suo1
暖乎乎	nuan3'hu1'hu1
排风扇	pai2'feng1'shan4
旁出	pang2'chu1
跑题	pao3'ti2
炮筒子	pao4'tong3'zi
陪送	pei2'song
配膳	pei4'shan4
蓬散	peng2'san4
篷车	peng2'che1
膨化	peng2'hua4
披沙拣金	pi1'sha1'jian3'jin1
皮猴儿	pi2'hou2'er
皮里阳秋	pi2'li3'yang2'qiu1
癖性	pi3'xing4
蹁跹	pian2'xian1
贫油	pin2'you2
屏条	ping2'tiao2
婆婆嘴	po2'po2'zui3
破陋	po4'lou4
破相	po4'xiang4
铺面房	pu4'mian4'fang2
起笔	qi3'bi3
气冲霄汉	qi4'chong1'xiao1'han4
千瓦小时	qian1'wa3'xiao3'shi2
芊芊	qian1'qian1
钱串子	qian2'chuan4'zi
潜水衣	qian2'shui3'yi1
潜滋暗长	qian2'zi1'an4'zhang3
墙头草	qiang2'tou2'cao3
侨属	qiao2'shu3
窃密	qie4'mi4
清盘	qing1'pan2
擎天柱	qing2'tian1'zhu4
曲霉	qu1'mei2
去痛片	qu4'tong4'pian4
拳棒	quan2'bang4
让价	rang4'jia4
热饮	re4'yin3
人欢马叫	ren2'huan1'ma3'jiao4
肉丁	rou4'ding1
肉头	rou4'tou2
乳儿	ru3'er2
乳黄色	ru3'huang2'se4
赛船	sai4'chuan2
赛璐珞	sai4'lu4'luo4
色魔	se4'mo2
沙金	sha1'jin1
沙灾	sha1'zai1
纱笼	sha1'long2
商路	shang1'lu4
上肥	shang4'fei2
上颌	shang4'he2
赊购	she1'gou4
舍身求法	she3'shen1'qiu2'fa3
社会青年	she4'hui4'qing1'nian2
审处	shen3'chu3
实益	shi2'yi4
矢量	shi3'liang4
饰词	shi4'ci2
枢要	shu1'yao4
舒筋活血	shu1'jin1'huo2'xue4
疏略	shu1'lve4
树墩	shu4'dun1
耍奸	shua3'jian1
爽目	shuang3'mu4
水葱	shui3'cong1
水碾	shui3'nian3
税单	shui4'dan1
吮咂	shun3'za1
厮熟	si1'shu2
死机	si3'ji1
死扣儿	si3'kou4'er
死球	si3'qiu2
送展	song4'zhan3
速决战	su4'jue2'zhan4
蒜黄	suan4'huang2
岁初	sui4'chu1
笋干儿	sun3'gan1'er2
缩水率	suo1'shui3'lv4
索讨	suo3'tao3
探胜	tan4'sheng4
螳臂当车	tang2'bi4'dang4'che1
桃仁	tao2'ren2
淘气鬼	tao2'qi4'gui3
套交情	tao4'jiao1'qing2
天头	tian1'tou2
条播	tiao2'bo1
铁板钉钉	tie3'ban3'ding4'ding1
铁壁铜墙	tie3'bi4'tong2'qiang2
铁柜	tie3'gui4
铁算盘	tie3'suan4'pan2
通都大邑	tong1'du1'da4'yi4
同庚	tong2'geng1
筒瓦	tong3'wa3
投畀豺虎	tou2'bi4'chai2'hu3
徒孙	tu2'sun1
兔死狗烹	tu4'si3'gou3'peng1
团歌	tuan2'ge1
团章	tuan2'zhang1
挖补	wa1'bu3
蛙人	wa1'ren2
娃娃亲	wa2'wa'qin1
外沿	wai4'yan2
顽民	wan2'min2
晚车	wan3'che1
碗碗腔	wan3'wan3'qiang1
危如累卵	wei1'ru2'lei3'luan3
圩子	wei2'zi
苇箔	wei3'bo2
尾骨	wei3'gu3
污名	wu1'ming2
诬害	wu1'hai4
无一是处	wu2'yi1'shi4'chu3
