神来之笔	shen2'lai2'zhi1'bi3
式子	shi4'zi3
适意	shi4'yi4
手快	shou3'kuai4
瘦骨嶙峋	shou4'gu3'lin2'xun2
率性	shuai4'xing4
水害	shui3'hai4
说合	shuo1'he
随俗	sui2'su2
糖精	tang2'jing1
特批	te4'pi1
铁证如山	tie3'zheng4'ru2'shan1
同案犯	tong2'an4'fan4
痛悔	tong4'hui3
投笔从戎	tou2'bi3'cong2'rong2
吐沫	tu4'mo
团校	tuan2'xiao4
退堂鼓	tui4'tang2'gu3
囤积居奇	tun2'ji1'ju1'qi2
拖把	tuo1'ba3
外缘	wai4'yuan2
苇席	wei3'xi2
五谷杂粮	wu3'gu3'za2'liang2
洗耳恭听	xi3'er3'gong1'ting1
下狠心	xia4'hen3'xin1
下脚料	xia4'jiao3'liao4
闲情逸致	xian2'qing2'yi4'zhi4
咸鱼	xian2'yu2
献词	xian4'ci2
相认	xiang1'ren4
想得开	xiang3'de'kai1
消火栓	xiao1'huo3'shuan1
小楷	xiao3'kai3
校徽	xiao4'hui1
心慈手软	xin1'ci2'shou3'ruan3
心浮	xin1'fu2
心算	xin1'suan4
星河	xing1'he2
性解放	xing4'jie3'fang4
学力	xue2'li4
压轴戏	ya1'zhou4'xi4
烟袋锅	yan1'dai4'guo1
掩耳盗铃	yan3'er3'dao4'ling2
邀宠	yao1'chong3
杳无音信	yao3'wu2'yin1'xin4
夜工	ye4'gong1
疑窦	yi2'dou4
易如反掌	yi4'ru2'fan3'zhang3
引动	yin3'dong4
油桶	you2'tong3
余威	yu2'wei1
鱼钩	yu2'gou1
玉簪	yu4'zan1
预防针	yu4'fang2'zhen1
云雨	yun2'yu3
运单	yun4'dan1
怎么得了	zen3'me'de2'liao3
赠阅	zeng4'yue4
折光	zhe2'guang1
值夜	zhi2'ye4
至圣	zhi4'sheng4
智勇双全	zhi4'yong3'shuang1'quan2
装殓	zhuang1'lian4
卓绝	zhuo2'jue2
自我解嘲	zi4'wo3'jie3'chao2
字词	zi4'ci2
鬃毛	zong1'mao2
走兽	zou3'shou4
嘴馋	zui3'chan2
坐监	zuo4'jian1
伴娘	ban4'niang2
绑腿	bang3'tui3
包打天下	bao1'da3'tian1'xia4
备荒	bei4'huang1
被罩	bei4'zhao4
荸荠	bi2'qi2
蓖麻	bi4'ma2
壁纸	bi4'zhi3
表里如一	biao3'li3'ru2'yi1
卜卦	bu3'gua4
不甚了了	bu4'shen4'le'le
菜饭	cai4'fan4
昌明	chang1'ming2
长虫	chang2'chong
肠炎	chang2'yan2
陈醋	chen2'cu4
呈递	cheng2'di4
持家	chi2'jia1
处变不惊	chu3'bian4'bu4'jing1
创面	chuang1'mian4
蠢笨	chun3'ben4
粗笨	cu1'ben4
存身	cun2'shen1
打下手	da3'xia4'shou3
大后天	da4'hou4'tian1
大家闺秀	da4'jia1'gui1'xiu4
当胸	dang1'xiong1
刀耕火种	dao1'geng1'huo3'zhong4
道破	dao4'po4
稻瘟病	dao4'wen1'bing4
登堂入室	deng1'tang2'ru4'shi4
递送	di4'song4
电火花	dian4'huo3'hua1
兜底	dou1'di3
对着干	dui4'zhe'gan4
驮子	duo4'zi
反之亦然	fan3'zhi1'yi4'ran2
分晓	fen1'xiao3
粉状	fen3'zhuang4
扶摇直上	fu2'yao2'zhi2'shang4
钢水	gang1'shui3
告警	gao4'jing3
蛤蜊	ge2'li2
各个击破	ge4'ge4'ji1'po4
孤本	gu1'ben3
孤苦伶仃	gu1'ku3'ling2'ding1
故交	gu4'jiao1
管风琴	guan3'feng1'qin2
管乐	guan3'le4
罐装	guan4'zhuang1
贵妇	gui4'fu4
海王星	hai3'wang2'xing1
好懂	hao3'dong3
贺年片	he4'nian2'pian4
黑灯瞎火	hei1'deng1'xia1'huo3
黑黢黢	hei1'qu1'qu1
后学	hou4'xue2
滑板	hua2'ban3
话语权	hua4'yu3'quan2
怀古	huai2'gu3
怀恋	huai2'lian4
蝗灾	huang2'zai1
霍然	huo4'ran2
激进派	ji1'jin4'pai4
加劲	jia1'jin4
价目表	jia4'mu4'biao3
见天	jian4'tian1
舰只	jian4'zhi1
交通量	jiao1'tong1'liang4
娇柔	jiao1'rou2
脚脖子	jiao3'bo2'zi
校准	jiao4'zhun3
结膜	jie2'mo2
金銮殿	jin1'luan2'dian4
荆条	jing1'tiao2
精确性	jing1'que4'xing4
卷心菜	juan3'xin1'cai4
角斗	jue2'dou4
均势	jun1'shi4
空穴来风	kong1'xue2'lai2'feng1
空格	kong1'ge2
拉票	la1'piao4
劳而无功	lao2'er2'wu2'gong1
老巢	lao3'chao2
猎户	lie4'hu4
零工	ling2'gong1
领结	ling3'jie2
溜光	liu1'guang1
瘤子	liu2'zi3
氯霉素	lv4'mei2'su4
马镫	ma3'deng4
闷棍	men4'gun4
盟誓	meng2'shi4
绵亘	mian2'gen4
灭门	mie4'men2
母亲节	mu3'qin1'jie2
那么样	na4'me'yang4
闹情绪	nao4'qing2'xu4
内勤	nei4'qin2
泥沙俱下	ni2'sha1'ju4'xia4
逆水行舟	ni4'shui3'xing2'zhou1
农业国	nong2'ye4'guo2
暖水瓶	nuan3'shui3'ping2
虐杀	nve4'sha1
抛光	pao1'guang1
炮口	pao4'kou3
疱疹	pao4'zhen3
陪侍	pei2'shi4
皮蛋	pi2'dan4
飘飘欲仙	piao1'piao1'yu4'xian1
迫降	po4'jiang4
奇耻大辱	qi2'chi3'da4'ru3
奇巧	qi2'qiao3
岂知	qi3'zhi1
气息奄奄	qi4'xi1'yan3'yan3
曲曲弯弯	qu1'qu1'wan1'wan1
去岁	qu4'sui4
劝诫	quan4'jie4
却步	que4'bu4
日甚一日	ri4'shen4'yi1'ri4
容人	rong2'ren2
肉色	rou4'se4
入流	ru4'liu2
骚货	sao1'huo4
晒台	shai4'tai2
上装	shang4'zhuang1
蛇胆	she2'dan3
神道	shen2'dao
神经错乱	shen2'jing1'cuo4'luan4
生水	sheng1'shui3
盛举	sheng4'ju3
十拿九稳	shi2'na2'jiu3'wen3
释怀	shi4'huai2
双拐	shuang1'guai3
水平面	shui3'ping2'mian4
水循环	shui3'xun2'huan2
死敌	si3'di2
死有余辜	si3'you3'yu2'gu1
四重奏	si4'chong2'zou4
松香	song1'xiang1
送信儿	song4'xin4'er
酸软	suan1'ruan3
算盘珠	suan4'pan2'zhu1
岁首	sui4'shou3
藤条	teng2'tiao2
同乡会	tong2'xiang1'hui4
痛改前非	tong4'gai3'qian2'fei1
头头脑脑	tou2'tou2'nao3'nao3
完人	wan2'ren2
万籁	wan4'lai4
亡友	wang2'you3
莴苣	wo1'ju4
无土栽培	wu2'tu3'zai1'pei2
无隙可乘	wu2'xi4'ke3'cheng2
务使	wu4'shi3
稀里哗啦	xi1'li'hua1'la1
戏词	xi4'ci2
戏装	xi4'zhuang1
下等	xia4'deng3
夏种	xia4'zhong3
线衣	xian4'yi1
相偕	xiang1'xie2
笑纳	xiao4'na4
偕同	xie2'tong2
心猿意马	xin1'yuan2'yi4'ma3
修史	xiu1'shi3
玄武	xuan2'wu3
掩人耳目	yan3'ren2'er3'mu4
雁阵	yan4'zhen4
要地	yao4'di4
夜战	ye4'zhan4
遗孤	yi2'gu1
遗少	yi2'shao4
阴差阳错	yin1'cha1'yang2'cuo4
银灰	yin2'hui1
引流	yin3'liu2
印信	yin4'xin4
英魂	ying1'hun2
营部	ying2'bu4
营帐	ying2'zhang4
硬卧	ying4'wo4
用印	yong4'yin4
忧心如焚	you1'xin1'ru2'fen2
鱼跃	yu2'yue4
渔歌	yu2'ge1
愚钝	yu2'dun4
与时俱进	yu3'shi2'ju4'jin4
玉兰花	yu4'lan2'hua1
圆弧	yuan2'hu2
载波	zai4'bo1
昭然若揭	zhao1'ran2'ruo4'jie1
侦缉	zhen1'ji1
正身	zheng4'shen1
重彩	zhong4'cai3
逐鹿	zhu2'lu4
主观性	zhu3'guan1'xing4
转行	zhuan3'hang2
撰述	zhuan4'shu4
自由王国	zi4'you2'wang2'guo2
宗祠	zong1'ci2
走形式	zou3'xing2'shi4
做贼心虚	zuo4'zei2'xin1'xu1
安乐死	an1'le4'si3
安歇	an1'xie1
暗合	an4'he2
白种人	bai2'zhong3'ren2
百叶窗	bai3'ye4'chuang1
邦联	bang1'lian2
包罗	bao1'luo2
笔架	bi3'jia4
臂章	bi4'zhang1
编年	bian1'nian2
贬义	bian3'yi4
