邈远;渺远	miao3'yuan3
命在旦夕	ming4'zai4'dan4'xi1
摸奖	mo1'jiang3
磨砂玻璃	mo2'sha1'bo1'li2
墨斗鱼	mo4'dou3'yu2
墨晶	mo4'jing1
墨渍	mo4'zi4
牧主	mu4'zhu3
闹灾	nao4'zai1
内陆湖	nei4'lu4'hu2
能掐会算	neng2'qia1'hui4'suan4
尼龙布	ni2'long2'bu4
黏度	nian2'du4
黏着	nian2'zhuo2
镍币	nie4'bi4
农机站	nong2'ji1'zhan4
暖水壶	nuan3'shui3'hu2
挪借	nuo2'jie4
糯稻	nuo4'dao4
攀扯	pan1'che3
捧杀	peng3'sha1
皮带轮	pi2'dai4'lun2
品第	pin3'di4
普快	pu3'kuai4
骑马找马	qi2'ma3'zhao3'ma3
气根	qi4'gen1
契据	qi4'ju4
千里驹	qian1'li3'ju1
峭立	qiao4'li4
青冢	qing1'zhong3
清汤寡水	qing1'tang1'gua3'shui3
清馨	qing1'xin1
秋游	qiu1'you2
曲别针	qu1'bie2'zhen1
驱逐令	qu1'zhu2'ling4
去污粉	qu4'wu1'fen3
全武行	quan2'wu3'hang2
缺门	que1'men2
热得快	re4'de2'kuai4
认贼作父	ren4'zei2'zuo4'fu4
溶蚀	rong2'shi2
肉孜节	rou4'zi1'jie2
如隔三秋	ru2'ge2'san1'qiu1
如芒在背	ru2'mang2'zai4'bei4
锐眼	rui4'yan3
撒酒疯	sa1'jiu3'feng1
塞牙	sai1'ya2
三八妇女节	san1'ba1'fu4'nv3'jie2
三花脸	san1'hua1'lian3
沙碛	sha1'qi4
傻瓜相机	sha3'gua1'xiang4'ji1
扇坠	shan4'zhui4
烧心	shao1'xin1
少白头	shao4'bai2'tou2
蛇蜕	she2'tui4
生理盐水	sheng1'li3'yan2'shui3
生荣死哀	sheng1'rong2'si3'ai1
绳墨	sheng2'mo4
失墒	shi1'shang1
失贞	shi1'zhen1
石笔	shi2'bi3
市制	shi4'zhi4
试场	shi4'chang3
柿霜	shi4'shuang1
手写体	shou3'xie3'ti3
熟土	shu2'tu3
暑伏	shu3'fu2
数词	shu4'ci2
双肩挑	shuang1'jian1'tiao1
双响	shuang1'xiang3
水洗布	shui3'xi3'bu4
税案	shui4'an4
顺意	shun4'yi4
司库	si1'ku4
司药	si1'yao4
撕肝裂肺	si1'gan1'lie4'fei4
死读书	si3'du2'shu1
松烟	song1'yan1
素愿	su4'yuan4
随风倒	sui2'feng1'dao3
胎发	tai1'fa4
台鉴	tai2'jian4
抬头纹	tai2'tou2'wen2
弹簧门	tan2'huang2'men2
炭黑	tan4'hei1
天差地远	tian1'cha1'di4'yuan3
填方	tian2'fang1
挑错儿	tiao1'cuo4'er2
跳房子	tiao4'fang2'zi
跳皮筋儿	tiao4'pi2'jin1'er
贴本儿	tie1'ben3'er2
通览	tong1'lan3
通权达变	tong1'quan2'da2'bian4
偷营	tou1'ying2
徒托空言	tu2'tuo1'kong1'yan2
土名	tu3'ming2
土腥气	tu3'xing1'qi4
兔唇	tu4'chun2
团籍	tuan2'ji2
团圆节	tuan2'yuan2'jie2
颓靡	tui2'mi3
拖堂	tuo1'tang2
脱胶	tuo1'jiao1
脱漏	tuo1'lou4
脱卸	tuo1'xie4
袜筒	wa4'tong3
弯度	wan1'du4
弯头	wan1'tou2
丸剂	wan2'ji4
玩儿完	wan2'er'wan2
婉顺	wan3'shun4
万能胶	wan4'neng2'jiao1
委培	wei3'pei2
温课	wen1'ke4
文契	wen2'qi4
文胸	wen2'xiong1
窝工	wo1'gong1
诬指	wu1'zhi3
无头苍蝇	wu2'tou2'cang1'ying2
芜菁	wu2'jing1
五方杂处	wu3'fang1'za2'chu3
舞迷	wu3'mi2
雾茫茫	wu4'mang2'mang2
吸顶灯	xi1'ding3'deng1
吸墨纸	xi1'mo4'zhi3
析疑	xi1'yi2
锡克教	xi1'ke4'jiao1
洗发精	xi3'fa1'jing1
下车伊始	xia4'che1'yi1'shi3
下聘	xia4'pin4
衔冤	xian2'yuan1
现成饭	xian4'cheng2'fan4
馅儿饼	xian4'er'bing3
香橙	xiang1'cheng2
香肚	xiang1'du3
湘菜	xiang1'cai4
消声器	xiao1'sheng1'qi4
消歇	xiao1'xie1
萧规曹随	xiao1'gui1'cao2'sui2
小别	xiao3'bie2
晓以利害	xiao3'yi3'li4'hai4
写家	xie3'jia1
血糊糊	xie3'hu1'hu1
泻肚子	xie4'du4'zi
信筒	xin4'tong3
行李房	xing2'li'fang2
醒木	xing3'mu4
凶耗	xiong1'hao4
凶宅	xiong1'zhai2
胸膜炎	xiong1'mo2'yan2
雄视	xiong2'shi4
休怪	xiu1'guai4
秀挺	xiu4'ting3
袖珍本	xiu4'zhen1'ben3
虚飘飘	xu1'piao1'piao1
玄之又玄	xuan2'zhi1'you4'xuan2
削肩	xue1'jian1
穴播	xue2'bo1
寻章摘句	xun2'zhang1'zhai1'ju4
压车	ya1'che1
咽喉炎	yan1'hou2'yan2
妍丽	yan2'li4
盐滩	yan2'tan1
演期	yan3'qi1
唁函	yan4'han2
验钞机	yan4'chao1'ji1
养眼	yang3'yan3
妖风	yao1'feng1
摇笔杆儿	yao2'bi3'gan3'er
摇唇鼓舌	yao2'chun2'gu3'she2
咬舌	yao3'she2
夜光表	ye4'guang1'biao3
一得之见	yi1'de2'zhi1'jian4
一锅端	yi1'guo1'duan1
一叶知秋	yi1'ye4'zhi1'qiu1
异日	yi4'ri4
薏米	yi4'mi3
殷富	yin1'fu4
淫亵	yin2'xie4
荫翳	yin1'yi4
英年	ying1'nian2
痈疽	yong1'ju1
幽婉	you1'wan3
余风	yu2'feng1
余勇可贾	yu2'yong3'ke3'gu3
羽纱	yu3'sha1
驭手	yu4'shou3
欲壑难填	yu4'he4'nan2'tian2
圆钢	yuan2'gang1
云崖	yun2'ya2
臧否人物	zang1'pi3'ren2'wu4
藏袍	zang4'pao2
早搏	zao3'bo2
早造	zao3'zao4
藻饰	zao3'shi4
择友	ze2'you3
沾花惹草	zhan1'hua1're3'cao3
谵妄	zhan1'wang4
战争贩子	zhan4'zheng1'fan4'zi3
招眼	zhao1'yan3
找米下锅	zhao3'mi3'xia4'guo1
找平	zhao3'ping2
找窍门	zhao3'qiao4'men2
折叠床	zhe2'die2'chuang2
诊疗所	zhen3'liao2'suo3
争嘴	zheng1'zui3
征引	zheng1'yin3
职务工资	zhi2'wu4'gong1'zi1
旨要	zhi3'yao4
中提琴	zhong1'ti2'qin2
