公升	gong1'sheng1
公证人	gong1'zheng4'ren2
公猪	gong1'zhu1
沟沿儿	gou1'yan2'er
顾惜	gu4'xi1
顾影自怜	gu4'ying3'zi4'lian2
雇农	gu4'nong2
怪胎	guai4'tai1
豪饮	hao2'yin3
好事多磨	hao3'shi4'duo1'mo2
好心好意	hao3'xin1'hao3'yi4
核威慑	he2'wei1'she4
横暴	heng4'bao4
哄人	hong1'ren2
画板	hua4'ban3
怀想	huai2'xiang3
换防	huan4'fang2
回还	hui2'huan2
昏君	hun1'jun1
活现	huo2'xian4
肌理	ji1'li3
急性子	ji2'xing4'zi3
既成事实	ji4'cheng2'shi4'shi2
家母	jia1'mu3
假手	jia3'shou3
界石	jie4'shi2
进退维谷	jin4'tui4'wei2'gu3
敬奉	jing4'feng4
救生衣	jiu4'sheng1'yi1
绝缘体	jue2'yuan2'ti3
军功	jun1'gong1
孔道	kong3'dao4
口臭	kou3'chou4
苦功	ku3'gong1
拉下马	la1'xia4'ma3
泪如泉涌	lei4'ru2'quan2'yong3
力拼	li4'pin1
练习本	lian4'xi2'ben3
恋歌	lian4'ge1
凉粉	liang2'fen3
亮儿	liang4'er
另册	ling4'ce4
柳编	liu3'bian1
落地生根	luo4'di4'sheng1'gen1
冒名	mao4'ming2
蒙羞	meng2'xiu1
迷梦	mi2'meng4
密实	mi4'shi2
蜜桃	mi4'tao2
面黄肌瘦	mian4'huang2'ji1'shou4
拿捏	na2'nie1
闹肚子	nao4'du4'zi
闹气	nao4'qi4
闹意见	nao4'yi4'jian4
浓眉大眼	nong2'mei2'da4'yan3
怒火中烧	nu4'huo3'zhong1'shao1
排忧解难	pai2'you1'jie3'nan4
批件	pi1'jian4
皮帽	pi2'mao4
平头百姓	ping2'tou2'bai3'xing4
欺辱	qi1'ru3
卡脖子	qia3'bo2'zi
前臂	qian2'bi4
前贤	qian2'xian2
钱款	qian2'kuan3
浅笑	qian3'xiao4
侨资	qiao2'zi1
清油	qing1'you2
权奸	quan2'jian1
全速	quan2'su4
裙带	qun2'dai4
群雕	qun2'diao1
溶合	rong2'he2
软木塞	ruan3'mu4'sai1
三秋	san1'qiu1
色迷迷	se4'mi2'mi2
煽情	shan1'qing2
上供	shang4'gong4
舍生取义	she3'sheng1'qu3'yi4
伸腿	shen1'tui3
胜迹	sheng4'ji4
失物	shi1'wu4
施主	shi1'zhu3
石蕊	shi2'rui3
拾金不昧	shi2'jin1'bu4'mei4
适口	shi4'kou3
耍猴儿	shua3'hou2'er
栓塞	shuan1'se4
说辞	shuo1'ci2
肆行	si4'xing2
松口气	song1'kou3'qi4
松子	song1'zi3
送风	song4'feng1
桫椤	suo1'luo2
拓本	ta4'ben3
谈兴	tan2'xing4
堂兄弟	tang2'xiong1'di
体貌	ti3'mao4
天伦	tian1'lun2
调治	tiao2'zhi4
铁砂	tie3'sha1
通讯卫星	tong1'xun4'wei4'xing1
统合	tong3'he2
推知	tui1'zhi1
丸药	wan2'yao4
网具	wang3'ju4
苇丛	wei3'cong2
温良	wen1'liang2
沃野	wo4'ye3
乌溜溜	wu1'liu1'liu1
无所不至	wu2'suo3'bu4'zhi4
武昌鱼	wu3'chang1'yu2
戏水	xi4'shui3
细声细气	xi4'sheng1'xi4'qi4
瞎火	xia1'huo3
下颚	xia4'e4
下工夫	xia4'gong1'fu
仙丹	xian1'dan1
响雷	xiang3'lei2
小百货	xiao3'bai3'huo4
小家碧玉	xiao3'jia1'bi4'yu4
小头	xiao3'tou2
小小说	xiao3'xiao3'shuo1
型钢	xing2'gang1
性激素	xing4'ji1'su4
胸卡	xiong1'ka3
选民证	xuan3'min2'zheng4
血肿	xue4'zhong3
旬刊	xun2'kan1
巡察	xun2'cha2
延绵	yan2'mian2
言状	yan2'zhuang4
眼疾手快	yan3'ji2'shou3'kuai4
阳间	yang2'jian1
养精蓄锐	yang3'jing1'xu4'rui4
药害	yao4'hai4
一饱眼福	yi1'bao3'yan3'fu2
一步登天	yi1'bu4'deng1'tian1
一径	yi1'jing4
贻害无穷	yi2'hai4'wu2'qiong2
移动式	yi2'dong4'shi4
因时制宜	yin1'shi2'zhi4'yi2
阴虚	yin1'xu1
引号	yin3'hao4
饮誉	yin3'yu4
饮鸩止渴	yin3'zhen4'zhi3'ke3
庸才	yong1'cai2
壅塞	yong1'se4
勇武	yong3'wu3
淤塞	yu1'se4
鱼虫	yu2'chong2
远涉	yuan3'she4
扎针	zha1'zhen1
战斗员	zhan4'dou4'yuan2
之乎者也	zhi1'hu1'zhe3'ye3
知遇之恩	zhi1'yu4'zhi1'en1
指认	zhi3'ren4
钟馗	zhong1'kui2
皱折	zhou4'zhe2
珠帘	zhu1'lian2
主祭	zhu3'ji4
追逼	zhui1'bi1
综合大学	zong1'he2'da4'xue2
左右手	zuo3'you4'shou3
作壁上观	zuo4'bi4'shang4'guan1
坐卧不安	zuo4'wo4'bu4'an1
隘口	ai4'kou3
暗河	an4'he2
白面书生	bai2'mian4'shu1'sheng1
白生生	bai2'sheng1'sheng1
白夜	bai2'ye4
百里挑一	bai3'li3'tiao1'yi1
败兵	bai4'bing1
蚌壳	bang4'ke2
包袱皮儿	bao1'fu'pi2'er
避雷针	bi4'lei2'zhen1
编目	bian1'mu4
标准时	biao1'zhun3'shi2
膘肥体壮	biao1'fei2'ti3'zhuang4
不成体统	bu4'cheng2'ti3'tong3
不粘锅	bu4'zhan1'guo1
彩笔	cai3'bi3
残损	can2'sun3
插销	cha1'xiao1
禅房	chan2'fang2
晨昏	chen2'hun1
嗤笑	chi1'xiao4
冲决	chong1'jue2
穿堂	chuan1'tang2
闯天下	chuang3'tian1'xia4
纯水	chun2'shui3
次于	ci4'yu2
答题	da2'ti2
大票	da4'piao4
代沟	dai4'gou1
胆道	dan3'dao4
胆壮	dan3'zhuang4
当头棒喝	dang1'tou2'bang4'he4
低频	di1'pin2
底漆	di3'qi1
电话簿	dian4'hua4'bu4
丁香花	ding1'xiang1'hua1
顶板	ding3'ban3
冬令营	dong1'ling4'ying2
逗弄	dou4'nong
独出心裁	du2'chu1'xin1'cai2
短少	duan3'shao3
发令枪	fa1'ling4'qiang1
反战	fan3'zhan4
犯忌	fan4'ji4
方框	fang1'kuang4
放映机	fang4'ying4'ji1
废黜	fei4'chu4
风靡一时	feng1'mi3'yi1'shi2
风灾	feng1'zai1
佛珠	fo2'zhu1
夫婿	fu1'xu4
负极	fu4'ji2
附送	fu4'song4
改弦易辙	gai3'xian2'yi4'zhe2
港务	gang3'wu4
高踞	gao1'ju4
隔扇	ge2'shan
公派	gong1'pai4
够味儿	gou4'wei4'er
故友	gu4'you3
怪僻	guai4'pi4
官窑	guan1'yao2
