典章	dian3'zhang1
雕饰	diao1'shi4
钉子户	ding1'zi'hu4
订约	ding4'yue1
定当	ding4'dang4
冬种	dong1'zhong3
动人心弦	dong4'ren2'xin1'xian2
独力	du2'li4
度日如年	du4'ri4'ru2'nian2
断交	duan4'jiao1
对开	dui4'kai1
对数	dui4'shu4
耳坠	er3'zhui4
罚没款	fa2'mo4'kuan3
饭锅	fan4'guo1
方术	fang1'shu4
芳菲	fang1'fei1
肺气肿	fei4'qi4'zhong3
副词	fu4'ci2
改易	gai3'yi4
盖碗	gai4'wan3
干饭	gan1'fan4
高帽子	gao1'mao4'zi3
高人一等	gao1'ren2'yi1'deng3
告白	gao4'bai2
观光客	guan1'guang1'ke4
光斑	guang1'ban1
国有化	guo2'you3'hua4
寒窗	han2'chuang1
合得来	he2'de'lai2
合剂	he2'ji4
河北梆子	he2'bei3'bang1'zi3
候机楼	hou4'ji1'lou2
虎牙	hu3'ya2
黄花菜	huang2'hua1'cai4
浑浑噩噩	hun2'hun2'e4'e4
讥诮	ji1'qiao4
缉私艇	ji1'si1'ting3
节节	jie2'jie2
结队	jie2'dui4
敬请	jing4'qing3
军垦	jun1'ken3
开奖	kai1'jiang3
慷慨陈词	kang1'kai3'chen2'ci2
考级	kao3'ji2
可溶	ke3'rong2
空前绝后	kong1'qian2'jue2'hou4
口诀	kou3'jue2
口是心非	kou3'shi4'xin1'fei1
枯井	ku1'jing3
快运	kuai4'yun4
阑尾炎	lan2'wei3'yan2
滥捕	lan4'bu3
狸猫	li2'mao1
立式	li4'shi4
联机	lian2'ji1
链球	lian4'qiu2
列岛	lie4'dao3
领养	ling3'yang3
吕剧	lv3'ju4
屡教不改	lv3'jiao4'bu4'gai3
乱套	luan4'tao4
乱真	luan4'zhen1
瞒天过海	man2'tian1'guo4'hai3
盲肠	mang2'chang2
盲童	mang2'tong2
脉脉	mo4'mo4
纳贿	na4'hui4
内忧外患	nei4'you1'wai4'huan4
暖风	nuan3'feng1
叛逃	pan4'tao2
捧角	peng3'jue2
批注	pi1'zhu4
品茗	pin3'ming2
前科	qian2'ke1
堑壕	qian4'hao2
强词夺理	qiang3'ci2'duo2'li3
青梅竹马	qing1'mei2'zhu2'ma3
清欠	qing1'qian4
穷酸	qiong2'suan1
区旗	qu1'qi2
祛邪	qu1'xie2
泉眼	quan2'yan3
人工降雨	ren2'gong1'jiang4'yu3
人仰马翻	ren2'yang3'ma3'fan1
荣光	rong2'guang1
容留	rong2'liu2
乳酸	ru3'suan1
入乡随俗	ru4'xiang1'sui2'su2
善终	shan4'zhong1
少壮	shao4'zhuang4
身板儿	shen1'ban3'er2
神佛	shen2'fo2
审稿	shen3'gao3
手气	shou3'qi4
手纸	shou3'zhi3
书吧	shu1'ba1
树人	shu4'ren2
水磨	shui3'mo4
挑唆	tiao3'suo1
团费	tuan2'fei4
外卖	wai4'mai4
完婚	wan2'hun1
偎依	wei1'yi1
委曲求全	wei3'qu1'qiu2'quan2
文言文	wen2'yan2'wen2
瓮声瓮气	weng4'sheng1'weng4'qi4
舞剑	wu3'jian4
雾霭	wu4'ai3
喜糖	xi3'tang2
细情	xi4'qing2
消减	xiao1'jian3
协查	xie2'cha2
撷取	xie2'qu3
心急火燎	xin1'ji2'huo3'liao3
心直口快	xin1'zhi2'kou3'kuai4
行经	xing2'jing1
修配	xiu1'pei4
序数	xu4'shu4
血量	xue4'liang4
压垮	ya1'kua3
言之有理	yan2'zhi1'you3'li3
眼皮子	yan3'pi2'zi3
眼前亏	yan3'qian2'kui1
野餐	ye3'can1
义子	yi4'zi3
溢美	yi4'mei3
营私	ying2'si1
映现	ying4'xian4
用事	yong4'shi4
由表及里	you2'biao3'ji2'li3
由头	you2'tou2
有备无患	you3'bei4'wu2'huan4
跃然	yue4'ran2
越俎代庖	yue4'zu3'dai4'pao2
晕厥	yun1'jue2
遭灾	zao1'zai1
早死	zao3'si3
掌门人	zhang3'men2'ren2
招兵买马	zhao1'bing1'mai3'ma3
招贴画	zhao1'tie1'hua4
折腰	zhe2'yao1
争持	zheng1'chi2
知了	zhi1'liao3
