火拼	huo3'pin1
火药库	huo3'yao4'ku4
货流	huo4'liu2
叽叽嘎嘎	ji1'ji'ga1'ga1
齑粉	ji1'fen3
极顶	ji2'ding3
疾进	ji2'jin4
集中制	ji2'zhong1'zhi4
祭器	ji4'qi4
髻子	ji4'zi3
家祠	jia1'ci2
假戏真做	jia3'xi4'zhen1'zuo4
煎炒	jian1'chao3
见长	jian4'chang2
间苗	jian4'miao2
降半旗	jiang4'ban4'qi2
胶轮	jiao1'lun2
接穗	jie1'sui4
结发夫妻	jie2'fa4'fu1'qi1
金橘	jin1'ju2
禁得起	jin1'de'qi3
近战	jin4'zhan4
警匪片	jing3'fei3'pian4
九族	jiu3'zu2
开光	kai1'guang1
课表	ke4'biao3
空论	kong1'lun4
空中管制	kong1'zhong1'guan3'zhi4
口蘑	kou3'mo2
块根	kuai4'gen1
溃堤	kui4'di1
喇叭筒	la3'ba'tong3
浪峰	lang4'feng1
老窝	lao3'wo1
累进税	lei3'jin4'shui4
冷傲	leng3'ao4
冷藏库	leng3'cang2'ku4
冷荤	leng3'hun1
里层	li3'ceng2
立体绿化	li4'ti3'lv4'hua4
炼乳	lian4'ru3
寥落	liao2'luo4
燎泡	liao2'pao4
劣种	lie4'zhong3
灵慧	ling2'hui4
灵芝草	ling2'zhi1'cao3
零打碎敲	ling2'da3'sui4'qiao1
留底	liu2'di3
溜子	liu4'zi
驴肝肺	lv2'gan1'fei4
闾里	lv2'li3
马后炮	ma3'hou4'pao4
冒号	mao4'hao4
没皮没脸	mei2'pi2'mei2'lian3
糜子	mei2'zi
媚气	mei4'qi4
门墩	men2'dun1
弥天大罪	mi2'tian1'da4'zui4
迷航	mi2'hang2
绵纸	mian2'zhi3
妙品	miao4'jing1
民贼	min2'zei2
鸣啭	ming2'zhuan4
冥顽不灵	ming2'wan2'bu4'ling2
磨刀霍霍	mo2'dao1'huo4'huo4
磨烦	mo4'fan
谋虑	mou2'lv4
暮鼓晨钟	mu4'gu3'chen2'zhong1
纳米技术	na4'mi3'ji4'shu4
囊虫	nang2'chong2
内出血	nei4'chu1'xue4
能者多劳	neng2'zhe3'duo1'lao2
孽债	nie4'zhai4
农谚	nong2'yan4
排炮	pai2'pao4
排箫	pai2'xiao1
炮艇	pao4'ting3
喷饭	pen1'fan4
硼砂	peng2'sha1
披巾	pi1'jin1
霹雷	pi1'lei2
偏心眼儿	pian1'xin1'yan3'er
评注	ping2'zhu4
破铜烂铁	po4'tong2'lan4'tie3
扑噜	pu1'lu1
起货	qi3'huo4
汽油弹	qi4'you2'dan4
牵线人	qian1'xian4'ren2
铅弹	qian1'dan4
强取豪夺	qiang2'qu3'hao2'duo2
切糕	qie4'gao1
怯阵	qie4'zhen4
琴谱	qin2'pu3
青黛	qing1'dai4
青涩	qing1'se4
青蒜	qing1'suan4
轻吟	qing1'yin2
倾洒	qing1'sa3
清册	qing1'ce4
求师	qiu2'shi1
驱迫	qu1'po4
绕嘴	rao4'zui3
