烟子	yan1'zi
污损	wu1'sun3
西洋景	xi1'yang2'jing3
洗雪	xi3'xue3
隙缝	xi4'feng4
下里巴人	xia4'li3'ba1'ren2
贤德	xian2'de2
小恩小惠	xiao3'en1'xiao3'hui4
晓畅	xiao3'chang4
心怀鬼胎	xin1'huai2'gui3'tai1
新体	xin1'ti3
幸臣	xing4'chen2
胸牌	xiong1'pai2
胸无大志	xiong1'wu2'da4'zhi4
徐图	xu2'tu2
寻欢	xun2'huan1
寻机	xun2'ji1
艳遇	yan4'yu4
养父母	yang3'fu4'mu3
养气	yang3'qi4
腋窝	ye4'wo1
一言九鼎	yi1'yan2'jiu3'ding3
屹然	yi4'ran2
影楼	ying3'lou2
优柔	you1'rou2
油漆匠	you2'qi1'jiang4
油纸	you2'zhi3
育婴	yu4'ying1
在押犯	zai4'ya1'fan4
造势	zao4'shi4
摘报	zhai1'bao4
摘帽子	zhai1'mao4'zi3
沾亲带故	zhan1'qin1'dai4'gu4
长门	zhang3'men2
针头线脑	zhen1'tou2'xian4'nao3
阵法	zhen4'fa3
证婚人	zheng4'hun1'ren2
治外法权	zhi4'wai4'fa3'quan2
周天	zhou1'tian1
昼伏夜出	zhou4'fu2'ye4'chu1
珠玑	zhu1'ji1
捉刀	zhuo1'dao1
资产评估	zi1'chan3'ping2'gu1
子宫颈	zi3'gong1'jing3
纵马	zong4'ma3
族类	zu2'lei4
安设	an1'she4
暗害	an4'hai4
八辈子	ba1'bei4'zi3
八面玲珑	ba1'mian4'ling2'long2
白鹳	bai2'guan4
百折不回	bai3'zhe2'bu4'hui2
暴敛	bao4'lian3
本利	ben3'li4
本业	ben3'ye4
笔管	bi3'guan3
贬谪	bian3'zhe2
便桥	bian4'qiao2
兵不血刃	bing1'bu4'xue4'ren4
兵饷	bing1'xiang3
病况	bing4'kuang4
不绝如缕	bu4'jue2'ru2'lv3
不孕症	bu4'yun4'zheng4
猜透	cai1'tou4
菜系	cai4'xi4
参议会	can1'yi4'hui4
槽头	cao2'tou2
插班	cha1'ban1
产需	chan3'xu1
长亭	chang2'ting2
长项	chang2'xiang4
耻于	chi3'yu2
赤金	chi4'jin1
仇怨	chou2'yuan4
酬宾	chou2'bin1
畜类	chu4'lei
打落水狗	da3'luo4'shui3'gou3
打小报告	da3'xiao3'bao4'gao4
大钞	da4'chao1
大卡	da4'ka3
蛋白尿	dan4'bai2'niao4
抵得上	di3'de2'shang4
地勤	di4'qin2
甸子	dian4'zi3
吊扣	diao4'kou4
定向培养	ding4'xiang4'pei2'yang3
冬灌	dong1'guan4
豆包	dou4'bao1
豆豉	dou4'chi3
赌局	du3'ju2
墩布	dun1'bu4
鹅毛大雪	e2'mao2'da4'xue3
二胎	er4'tai1
反转	fan3'zhuan3
梵语	fan4'yu3
防老	fang2'lao3
肥头大耳	fei2'tou2'da4'er3
风帽	feng1'mao4
风门	feng1'men2
疯魔	feng1'mo2
扶掖	fu2'ye4
付之一笑	fu4'zhi1'yi1'xiao4
附着力	fu4'zhuo2'li4
复姓	fu4'xing4
富态	fu4'tai4
钢叉	gang1'cha1
根究	gen1'jiu1
弓腰	gong1'yao1
公平秤	gong1'ping2'cheng4
狗仗人势	gou3'zhang4'ren2'shi4
