装神弄鬼	zhuang1'shen2'nong4'gui3
追怀	zhui1'huai2
追尾	zhui1'wei3
自成一家	zi4'cheng2'yi1'jia1
身教	shen1'jiao4
阿司匹林	a1'si1'pi3'lin2
白肉	bai2'rou4
白事	bai2'shi4
白血球	bai2'xue4'qiu2
摆阔	bai3'kuo4
拜辞	bai4'ci2
板床	ban3'chuang2
半腰	ban4'yao1
报春花	bao4'chun1'hua1
暴死	bao4'si3
爆炒	bao4'chao3
悲号	bei1'hao2
背人	bei4'ren2
本埠	ben3'bu4
变价	bian4'jia4
兵械	bing1'xie4
波束	bo1'shu4
草民	cao3'min2
拆穿	chai1'chuan1
长逝	chang2'shi4
唱高调	chang4'gao1'diao4
成名作	cheng2'ming2'zuo4
成人之美	cheng2'ren2'zhi1'mei3
成文法	cheng2'wen2'fa3
呈交	cheng2'jiao1
城垛	cheng2'duo3
逞凶	cheng3'xiong1
吃不准	chi1'bu'zhun3
吃老本	chi1'lao3'ben3
垂死挣扎	chui2'si3'zheng1'zha2
从戎	cong2'rong2
粗通	cu1'tong1
寸断	cun4'duan4
寸土	cun4'tu3
大集体	da4'ji2'ti3
大前天	da4'qian2'tian1
单用	dan1'yong4
弹丸之地	dan4'wan2'zhi1'di4
倒运	dao3'yun4
颠倒是非	dian1'dao3'shi4'fei1
电汇	dian4'hui4
斗拱	dou3'gong3
短讯	duan3'xun4
堆肥	dui1'fei2
发报	fa1'bao4
发绿	fa1'lv4
反绑	fan3'bang3
反扒	fan3'ba1
反诉	fan3'su4
防暴警察	fang2'bao4'jing3'cha2
防寒服	fang2'han2'fu2
飞扬跋扈	fei1'yang2'ba2'hu4
粪车	fen4'che1
风声鹤唳	feng1'sheng1'he4'li4
氟利昂	fu2'li4'ang2
俯拾即是	fu3'shi2'ji2'shi4
概略	gai4'lve4
敢是	gan3'shi4
刚正	gang1'zheng4
工笔画	gong1'bi3'hua4
工于	gong1'yu2
公举	gong1'ju3
勾魂	gou1'hun2
狗崽子	gou3'zai3'zi3
鼓风机	gu3'feng1'ji1
刮痧	gua1'sha1
寡居	gua3'ju1
挂冠	gua4'guan1
光火	guang1'huo3
归程	gui1'cheng2
归化	gui1'hua4
鬼哭狼嚎	gui3'ku1'lang2'hao2
鬼头鬼脑	gui3'tou2'gui3'nao3
滚瓜烂熟	gun3'gua1'lan4'shu2
果腹	guo3'fu4
酣战	han1'zhan4
皓齿	hao4'chi3
荷载	he4'zai4
黑色幽默	hei1'se4'you1'mo4
横断面	heng2'duan4'mian4
宏论	hong2'lun4
厚意	hou4'yi4
胡椒面儿	hu2'jiao1'mian4'er2
花腔	hua1'qiang1
还账	huan2'zhang4
黄道吉日	huang2'dao4'ji2'ri4
毁谤	hui3'bang4
婚俗	hun1'su2
纪纲	ji4'gang1
家鸽	jia1'ge1
拣选	jian3'xuan3
贱人	jian4'ren2
姜汤	jiang1'tang1
结婚照	jie2'hun1'zhao4
金针	jin1'zhen1
进款	jin4'kuan3
禁食	jin4'shi2
警徽	jing3'hui1
竞拍	jing4'pai1
救险	jiu4'xian3
开裆裤	kai1'dang1'ku4
苛捐杂税	ke1'juan1'za2'shui4
空喊	kong1'han3
空架子	kong1'jia4'zi
口诛笔伐	kou3'zhu1'bi3'fa2
苦差	ku3'chai1
髋关节	kuan1'guan1'jie2
来潮	lai2'chao2
劳改犯	lao2'gai3'fan4
老旦	lao3'dan4
冷板凳	leng3'ban3'deng4
两可	liang3'ke3
两全	liang3'quan2
伶牙俐齿	ling2'ya2'li4'chi3
罗曼蒂克	luo2'man4'di4'ke4
落魄	luo4'po4
马赛克	ma3'sai4'ke4
漫卷	man4'juan3
没着落	mei2'zhuo2'luo4
明春	ming2'chun1
木偶戏	mu4'ou3'xi4
耙子	pa2'zi
旁门	pang2'men2
皮包公司	pi2'bao1'gong1'si1
翩跹	pian1'xian1
片剂	pian4'ji4
飘移	piao1'yi2
瓢虫	piao2'chong2
瓢泼大雨	piao2'po1'da4'yu3
瓶塞	ping2'sai1
妻弟	qi1'di4
欺瞒	qi1'man2
漆画	qi1'hua4
奇趣	qi2'qu4
铅印	qian1'yin4
强弩之末	qiang2'nu3'zhi1'mo4
强辩	qiang3'bian4
轻机枪	qing1'ji1'qiang1
穷则思变	qiong2'ze2'si1'bian4
如狼似虎	ru2'lang2'si4'hu3
软椅	ruan3'yi3
山景	shan1'jing3
煽风点火	shan1'feng1'dian3'huo3
上税	shang4'shui4
梢头	shao1'tou2
深交	shen1'jiao1
时点	shi2'dian3
实价	shi2'jia4
实足	shi2'zu2
食管	shi2'guan3
事必躬亲	shi4'bi4'gong1'qin1
守势	shou3'shi4
守业	shou3'ye4
丝丝入扣	si1'si1'ru4'kou4
四季如春	si4'ji4'ru2'chun1
糖醋	tang2'cu4
土包子	tu3'bao1'zi
土拨鼠	tu3'bo1'shu3
兔儿爷	tu4'er'ye2
拖网	tuo1'wang3
顽劣	wan2'lie4
万金油	wan4'jin1'you2
畏首畏尾	wei4'shou3'wei4'wei3
无的放矢	wu2'di4'fang4'shi3
无可无不可	wu2'ke3'wu2'bu4'ke3
无所不为	wu2'suo3'bu4'wei2
下家	xia4'jia1
下卷	xia4'juan3
显达	xian3'da2
限速	xian4'su4
乡俗	xiang1'su2
降表	xiang2'biao3
消夜	xiao1'ye4
小我	xiao3'wo3
孝服	xiao4'fu2
斜睨	xie2'ni4
泄愤	xie4'fen4
信口雌黄	xin4'kou3'ci2'huang2
信任投票	xin4'ren4'tou2'piao4
猩红热	xing1'hong2're4
行令	xing2'ling4
修订本	xiu1'ding4'ben3
续篇	xu4'pian1
血衣	xue4'yi1
巡访	xun2'fang3
压级	ya1'ji2
厌食	yan4'shi2
妖魔鬼怪	yao1'mo2'gui3'guai4
药草	yao4'cao3
已极	yi3'ji2
庸人自扰	yong1'ren2'zi4'rao3
幽远	you1'yuan3
油绿	you2'lv4
又及	you4'ji2
瘀血	yu1'xue4
鱼叉	yu2'cha1
浴衣	yu4'yi1
岳家	yue4'jia1
载重汽车	zai4'zhong4'qi4'che1
章回小说	zhang1'hui2'xiao3'shuo1
胀痛	zhang4'tong4
正餐	zheng4'can1
证物	zheng4'wu4
指印	zhi3'yin4
至交	zhi4'jiao1
终岁	zhong1'sui4
猪瘟	zhu1'wen1
祝捷	zhu4'jie2
铸件	zhu4'jian4
装蒜	zhuang1'suan4
自量	zi4'liang4
嘴快	zui3'kuai4
左首	zuo3'shou3
坐以待毙	zuo4'yi3'dai4'bi4
哀歌	ai1'ge1
