掌上电脑	zhang3'shang4'dian4'nao3
真本事	zhen1'ben3'shi
正面人物	zheng4'mian4'ren2'wu4
织造	zhi1'zao4
指南针	zhi3'nan2'zhen1
种羊	zhong3'yang2
啄食	zhuo2'shi2
自我牺牲	zi4'wo3'xi1'sheng1
遵行	zun1'xing2
爱女	ai4'nv3
熬煎	ao2'jian1
变幻莫测	bian4'huan4'mo4'ce4
播送	bo1'song4
捕猎	bu3'lie4
恻隐之心	ce4'yin3'zhi1'xin1
层级	ceng2'ji2
茶花	cha2'hua1
臭名昭著	chou4'ming2'zhao1'zhu4
初等	chu1'deng3
穿透力	chuan1'tou4'li4
床垫	chuang2'dian4
纯种	chun2'zhong3
丛莽	cong2'mang3
促膝谈心	cu4'xi1'tan2'xin1
打车	da3'che1
打游击	da3'you2'ji1
大考	da4'kao3
刀把儿	dao1'ba4'er
刀口	dao1'kou3
抵押金	di3'ya1'jin1
独到之处	du2'dao4'zhi1'chu4
舵手	duo4'shou3
法术	fa3'shu4
付印	fu4'yin4
赴会	fu4'hui4
干果	gan1'guo3
干咳	gan1'ke2
干掉	gan4'diao4
古板	gu3'ban3
光碟	guang1'die2
黑线	hei1'xian4
哗变	hua2'bian4
环山	huan2'shan1
剪辑	jian3'ji2
狡辩	jiao3'bian4
金库	jin1'ku4
禁闭	jin4'bi4
据理力争	ju4'li3'li4'zheng1
开源节流	kai1'yuan2'jie2'liu2
楷书	kai3'shu1
科技城	ke1'ji4'cheng2
客队	ke4'dui4
空落落	kong1'luo4'luo4
空投	kong1'tou2
框子	kuang4'zi3
缆车	lan3'che1
滥发	lan4'fa1
隶书	li4'shu1
两张皮	liang3'zhang1'pi2
马棚	ma3'peng2
满座	man3'zuo4
勉力	mian3'li4
妙处	miao4'chu3
民团	min2'tuan2
耐磨	nai4'mo2
难友	nan4'you3
内讧	nei4'hong4
浓淡	nong2'dan4
盘剥	pan2'bo1
庞然大物	pang2'ran2'da4'wu4
缥缈	piao1'miao3
迫令	po4'ling4
铺板	pu4'ban3
企望	qi3'wang4
前呼后拥	qian2'hu1'hou4'yong1
青龙	qing1'long2
泉涌	quan2'yong3
荣华	rong2'hua2
丧家	sang1'jia1
善事	shan4'shi4
舍己救人	she3'ji3'jiu4'ren2
谁个	shei2'ge4
神采奕奕	shen2'cai3'yi4'yi4
书场	shu1'chang3
私产	si1'chan3
踏步	ta4'bu4
弹指	tan2'zhi3
天险	tian1'xian3
迢迢	tiao2'tiao2
顽疾	wan2'ji2
万幸	wan4'xing4
王法	wang2'fa3
午间	wu3'jian1
稀泥	xi1'ni2
下脚	xia4'jiao3
香案	xiang1'an4
小心眼儿	xiao3'xin1'yan3'er
校际	xiao4'ji4
笑逐颜开	xiao4'zhu2'yan2'kai1
