允当	yun3'dang4
晕机	yun4'ji1
孳乳	zi1'ru3
走账	zou3'zhang4
安如磐石	an1'ru2'pan2'shi2
败毒	bai4'du2
褒词	bao1'ci2
便壶	bian4'hu2
残品	can2'pin3
乘务长	cheng2'wu4'zhang3
吃劳保	chi1'lao2'bao3
脆骨	cui4'gu3
打边鼓	da3'bian1'gu3
单姓	dan1'xing4
倒牙	dao3'ya2
订书机	ding4'shu1'ji1
独奏曲	du2'zou4'qu3
耳垢	er3'gou4
二伏	er4'fu2
公报私仇	gong1'bao4'si1'chou2
公亩	gong1'mu3
钩针	gou1'zhen1
关门打狗	guan1'men2'da3'gou3
过录	guo4'lu4
过目成诵	guo4'mu4'cheng2'song4
汉语水平考试	han4'yu3'shui3'ping2'kao3'shi4
华氏度	hua2'shi4'du4
黄昏恋	huang2'hun1'lian4
回车键	hui2'che1'jian4
荤食	hun1'shi2
搅局	jiao3'ju2
借喻	jie4'yu4
旧调重弹	jiu4'diao4'chong2'tan2
惧内	ju4'nei4
抗上	kang4'shang4
孔武有力	kong3'wu3'you3'li4
癞疮	lai4'chuang1
浪子回头金不换	lang4'zi3'hui2'tou2'jin1'bu4'huan4
李代桃僵	li3'dai4'tao2'jiang1
留后手	liu2'hou4'shou3
卯榫	mao3'sun3
末伏	mo4'fu2
黏性	nian2'xing4
盘根问底	pan2'gen1'wen4'di3
苤蓝	pie3'lan2
骑缝	qi2'feng4
市尺	shi4'chi3
首尔	shou3'er3
舒松	shu1'song1
熟语	shu2'yu3
耍手段	shua3'shou3'duan4
松仁	song1'ren2
随大溜	sui2'da4'liu4
太空步	tai4'kong1'bu4
太空棉	tai4'kong1'mian2
万年历	wan4'nian2'li4
鲜啤	xian1'pi2
小舌	xiao3'she2
泄洪闸	xie4'hong2'zha2
谢顶	xie4'ding3
性价比	xing4'jia4'bi3
血崩	xue4'beng1
腋臭	ye4'chou4
引申义	yin3'shen1'yi4
中魔	zhong4'mo2
仔鸡;子鸡	zi3'ji1
凹镜	ao1'jing4
差等生	cha1'deng3'sheng1
抽测	chou1'ce4
电笔	dian4'bi3
刁横	diao1'heng4
凋败	diao1'bai4
跌打丸	die1'da3'wan2
房贴	fang2'tie3
概数	gai4'shu4
勾芡	gou1'qian4
拐棒	guai3'bang4
害鸟	hai4'niao3
呼朋引类	hu1'peng2'yin3'lei4
脊髓炎	ji3'sui3'yan2
将军肚	jiang1'jun1'du4
敬语	jing4'yu3
鸠占鹊巢	jiu1'zhan4'que4'chao2
勘误	kan1'wu4
