借酒浇愁	jie4'jiu3'jiao1'chou2
襟怀坦白	jin1'huai2'tan3'bai2
进补	jin4'bu3
警世	jing3'shi4
锯末	ju4'mo4
决一雌雄	jue2'yi1'ci2'xiong2
军管	jun1'guan3
开房间	kai1'fang2'jian1
谰言	lan2'yan2
老老少少	lao3'lao3'shao4'shao4
老命	lao3'ming4
冷食	leng3'shi2
愣头愣脑	leng4'tou2'leng4'nao3
礼拜日	li3'bai4'ri4
联合战线	lian2'he2'zhan4'xian4
脸形	lian3'xing2
恋家	lian4'jia1
恋旧	lian4'jiu4
寥廓	liao2'kuo4
六畜	liu4'chu4
滤波器	lv4'bo1'qi4
毛刺	mao2'ci4
貌合神离	mao4'he2'shen2'li2
孟夏	meng4'xia4
秘藏	mi4'cang2
蜜汁	mi4'zhi1
面交	mian4'jiao1
面授机宜	mian4'shou4'ji1'yi2
描红	miao2'hong2
民约	min2'yue1
民族运动	min2'zu2'yun4'dong4
名誉扫地	ming2'yu4'sao3'di4
明眸皓齿	ming2'mou2'hao4'chi3
末子	mo4'zi
目验	mu4'yan4
纳贡	na4'gong4
尼龙袜	ni2'long2'wa4
鸟铳	niao3'chong4
蹑足	nie4'zu2
牛角尖	niu2'jiao3'jian1
偶或	ou3'huo4
旁通	pang2'tong1
跑外	pao3'wai4
皮褥子	pi2'ru4'zi3
皮实	pi2'shi2
平野	ping2'ye3
普教	pu3'jiao4
气枪	qi4'qiang1
气性	qi4'xing4
弃妇	qi4'fu4
瞧病	qiao2'bing4
轻软	qing1'ruan3
倾谈	qing1'tan2
清炖	qing1'dun4
秋景	qiu1'jing3
求取	qiu2'qu3
缺嘴	que1'zui3
染织	ran3'zhi1
热水袋	re4'shui3'dai4
人面兽心	ren2'mian4'shou4'xin1
认负	ren4'fu4
日托	ri4'tuo1
乳猪	ru3'zhu1
傻大黑粗	sha3'da4'hei1'cu1
傻里傻气	sha3'li3'sha3'qi4
山大王	shan1'da4'wang2
山窝	shan1'wo1
闪烁其词	shan3'shuo4'qi2'ci2
上窜下跳	shang4'cuan4'xia4'tiao4
上集	shang4'ji2
上款	shang4'kuan3
稍顷	shao1'qing3
深望	shen1'wang4
生手	sheng1'shou3
失迎	shi1'ying2
师出无名	shi1'chu1'wu2'ming2
收执	shou1'zhi2
兽欲	shou4'yu4
书函	shu1'han2
梳辫子	shu1'bian4'zi3
树倒猢狲散	shu4'dao3'hu2'sun1'san4
刷白	shua4'bai2
衰朽	shuai1'xiu3
水银灯	shui3'yin2'deng1
私商	si1'shang1
肃毒	su4'du2
缩头缩脑	suo1'tou2'suo1'nao3
抬轿子	tai2'jiao4'zi3
坦露	tan3'lu4
疼惜	teng2'xi1
挑头	tiao3'tou2
铁镐	tie3'gao3
通名	tong1'ming2
铜版	tong2'ban3
童叟无欺	tong2'sou3'wu2'qi1
头角	tou2'jiao3
腕力	wan4'li4
危城	wei1'cheng2
诿过	wei3'guo4
位能	wei4'neng2
文不对题	wen2'bu4'dui4'ti2
乌桕	wu1'jiu4
五代十国	wu3'dai4'shi2'guo2
五方	wu3'fang1
五言诗	wu3'yan2'shi1
息兵	xi1'bing1
息肉	xi1'rou4
先世	xian1'shi4
鲜丽	xian1'li4
咸淡	xian2'dan4
显学	xian3'xue2
乡下佬	xiang1'xia4'lao3
