秀色可餐	xiu4'se4'ke3'can1
绣花针	xiu4'hua1'zhen1
血盆大口	xue4'pen2'da4'kou3
寻花问柳	xun2'hua1'wen4'liu3
荨麻疹	xun2'ma2'zhen3
逊位	xun4'wei4
压阵	ya1'zhen4
哑语	ya3'yu3
烟灯	yan1'deng1
烟煤	yan1'mei2
眼屎	yan3'shi3
阳面	yang2'mian4
阳坡	yang2'po1
洋味儿	yang2'wei4'er2
摇尾乞怜	yao2'wei3'qi3'lian2
爷娘	ye2'niang2
一贯性	yi1'guan4'xing4
一时一刻	yi1'shi2'yi1'ke4
一潭死水	yi1'tan2'si3'shui3
一无所得	yi1'wu2'suo3'de2
以少胜多	yi3'shao3'sheng4'duo1
佚文	yi4'wen2
易手	yi4'shou3
阴毒	yin1'du2
银票	yin2'piao4
用心思	yong4'xin1'si
忧闷	you1'men4
幽居	you1'ju1
有奖销售	you3'jiang3'xiao1'shou4
雨情	yu3'qing2
语体	yu3'ti3
玉米秸	yu4'mi3'jie1
月产量	yue4'chan3'liang4
月桂	yue4'gui4
云鬓	yun2'bin4
芸豆	yun2'dou4
杂面	za2'mian4
灶头	zao4'tou2
增订	zeng1'ding4
獐子	zhang1'zi3
朝暮	chao2'mu4
朝三暮四	zhao1'san1'mu4'si4
笊篱	zhao4'li2
整衣	zheng3'yi1
证明人	zheng4'ming2'ren2
指甲油	zhi3'jia3'you2
中山服	zhong1'shan1'fu2
忠顺	zhong1'shun4
种畜	zhong3'chu4
装相	zhuang1'xiang4
自乘	zi4'cheng2
组诗	zu3'shi1
安之若素	an1'zhi1'ruo4'su4
白茬儿	bai2'cha2'er
班门弄斧	ban1'men2'nong4'fu3
伴游	ban4'you2
保护国	bao3'hu4'guo2
报数	bao4'shu4
抱愧	bao4'kui4
变局	bian4'ju2
变型	bian4'xing2
兵贵神速	bing1'gui4'shen2'su4
兵强马壮	bing1'qiang2'ma3'zhuang4
兵卒	bing1'zu2
帛书	bo2'shu1
不可知论	bu4'ke3'zhi1'lun4
才具	cai2'ju4
残毒	can2'du2
惨厉	can3'li4
沧海横流	cang1'hai3'heng2'liu2
唱功	chang4'gong1
沉毅	chen2'yi4
陈皮	chen2'pi2
成癖	cheng2'pi3
乘人之危	cheng2'ren2'zhi1'wei1
橙子	cheng2'zi3
叱令	chi4'ling4
冲印	chong1'yin4
重聚	zhong4'ju4
窗幔	chuang1'man4
篡权	cuan4'quan2
打牙祭	da3'ya2'ji4
歹意	dai3'yi4
单身贵族	dan1'shen1'gui4'zu2
低烧	di1'shao1
敌特	di2'te4
叠放	die2'fang4
东跑西颠	dong1'pao3'xi1'dian1
动肝火	dong4'gan1'huo3
动火	dong4'huo3
断炊	duan4'chui1
垛子	duo4'zi
耳坠子	er3'zhui4'zi3
法号	fa3'hao4
费口舌	fei4'kou3'she2
浮生	fu2'sheng1
扛鼎	gang1'ding3
钢筋铁骨	gang1'jin1'tie3'gu3
根瘤	gen1'liu2
狗尾草	gou3'wei3'cao3
官样文章	guan1'yang4'wen2'zhang1
鳏夫	guan1'fu1
规谏	gui1'jian4
滚木	gun3'mu4
果脯	guo3'fu3
