缺勤	que1'qin2
顶班	ding3'ban1
动兵	dong4'bing1
抖威风	dou3'wei1'feng1
豆绿	dou4'lv4
逗哏	dou4'gen2
髑髅	du2'lou2
堵心	du3'xin1
短不了	duan3'bu'liao3
断顿	duan4'dun4
遁词	dun4'ci2
鄂温克族	e4'wen1'ke4'zu2
翻刻	fan1'ke4
芳馨	fang1'xin1
放怀	fang4'huai2
飞泻	fei1'xie4
非同凡响	fei1'tong2'fan2'xiang3
丰歉	feng1'qian4
风烟	feng1'yan1
风钻	feng1'zuan4
凤尾竹	feng4'wei3'zhu2
奉令	feng4'ling4
抚琴	fu3'qin2
妇产	fu4'chan3
干亲家	gan1'qing4'jia
赶任务	gan3'ren4'wu
感戴	gan3'dai4
感叹号	gan3'tan4'hao4
钢圈	gang1'quan1
高阁	gao1'ge2
搞头	gao3'tou2
歌咏队	ge1'yong3'dui4
工价	gong1'jia4
工间操	gong1'jian1'cao1
攻无不克	gong1'wu2'bu4'ke4
宫颈	gong1'jing3
古文献	gu3'wen2'xian4
故世	gu4'shi4
挂虑	gua4'lv4
乖谬	guai1'miu4
怪石嶙峋	guai4'shi2'lin2'xun2
管乐器	guan3'yue4'qi4
逛荡	guang4'dang4
归回	gui1'hui2
归置	gui1'zhi
鬼画符	gui3'hua4'fu2
柜橱	gui4'chu2
过账	guo4'zhang4
嗨呀	hai1'ya1
海草	hai3'cao3
汗背心	han4'bei4'xin1
汗涔涔	han4'cen2'cen2
耗子药	hao4'zi3'yao4
何罪之有	he2'zui4'zhi1'you3
河港	he2'gang3
猴年马月	hou2'nian2'ma3'yue4
后爹	hou4'die1
虎步	hu3'bu4
护养	hu4'yang3
华达呢	hua2'da2'ni2
秽土	hui4'tu3
混饭	hun4'fan4
饥色	ji1'se4
机变	ji1'bian4
机织	ji1'zhi1
机座	ji1'zuo4
积愤	ji1'fen4
技痒	ji4'yang3
夹七夹八	jia1'qi1'jia1'ba1
甲亢	jia3'kang4
茧丝	jian3'si1
简况	jian3'kuang4
糨糊;浆糊	jiang4'hu
姣美	jiao1'mei3
胶纸	jiao1'zhi3
接缝	jie1'feng4
结痂	jie2'jia1
金工	jin1'gong1
金丝雀	jin1'si1'que4
金玉良言	jin1'yu4'liang2'yan2
进抵	jin4'di3
精编	jing1'bian1
卷尺	juan3'chi3
喀斯特	ka1'si1'te4
看青	kan1'qing1
客饭	ke4'fan4
空翻	kong1'fan1
空拳	kong1'quan2
口杯	kou3'bei1
口耳相传	kou3'er3'xiang1'chuan2
旷世	kuang4'shi4
扩印	kuo4'yin4
老境	lao3'jing4
老样子	lao3'yang4'zi3
雷达兵	lei2'da2'bing1
礼制	li3'zhi4
理喻	li3'yu4
联保	lian2'bao3
亮光光	liang4'guang1'guang1
绫子	ling2'zi3
零嘴	ling2'zui3
留居	liu2'ju1
路警	lu4'jing3
戮力	lu4'li4
屡战屡败	lv3'zhan4'lv3'bai4
挛缩	luan2'suo1
洛阳纸贵	luo4'yang2'zhi3'gui4
马大哈	ma3'da4'ha1
麦客	mai4'ke4
卖俏	mai4'qiao4
满额	man3'e2
漫流	man4'liu2
锚链	mao2'lian4
没羞	mei2'xiu1
煤气炉	mei2'qi4'lu2
蒙汗药	meng2'han4'yao4
蠓虫	meng3'chong2
迷彩	mi2'cai3
靡靡	mi3'mi3
密麻麻	mi4'ma2'ma2
蜜色	mi4'se4
绵里藏针	mian2'li3'cang2'zhen1
棉球	mian2'qiu2
面谢	mian4'xie4
苗语	miao2'yu3
妙笔生花	miao4'bi3'sheng1'hua1
妙方	miao4'fang1
妙论	miao4'lun4
妙算	miao4'suan4
庙祝	miao4'zhu4
名物	ming2'wu4
明黄	ming2'huang2
魔障	mo2'zhang4
木栓	mu4'shuan1
木头木脑	mu4'tou2'mu4'nao3
纳降	na4'xiang2
南柯一梦	nan2'ke1'yi1'meng4
凝想	ning2'xiang3
派任	pai4'ren4
盘底	pan2'di3
跑码头	pao3'ma3'tou
偏生	pian1'sheng1
票选	piao4'xuan3
平板三轮	ping2'ban3'san1'lun2
坪坝	ping2'ba4
奇秀	qi2'xiu4
起稿	qi3'gao3
起网	qi3'wang3
气脉	qi4'mai4
弃世	qi4'shi4
砌筑	qi4'zhu4
憩息	qi4'xi1
前赵	qian2'zhao4
强击机	qiang2'ji1'ji1
敲山震虎	qiao1'shan1'zhen4'hu3
巧舌如簧	qiao3'she2'ru2'huang2
撬棍	qiao4'gun4
倾侧	qing1'ce4
倾巢出动	qing1'chao2'chu1'dong4
却之不恭	que4'zhi1'bu4'gong1
饶人	rao2'ren2
热门货	re4'men2'huo4
忍冬	ren3'dong1
认死理	ren4'si3'li3
日月如梭	ri4'yue4'ru2'suo1
肉松	rou4'song1
如箭在弦	ru2'jian4'zai4'xian2
嚅动	ru2'dong4
濡染	ru2'ran3
软驱	ruan3'qu1
三点水	san1'dian3'shui3
沙害	sha1'hai4
商洽	shang1'qia4
上色	shang4'shai3
上世	shang4'shi4
烧卖	shao1'mai4
少安毋躁	shao3'an1'wu2'zao4
绍剧	shao4'ju4
神效	shen2'xiao4
生油	sheng1'you2
失宜	shi1'yi2
失准	shi1'zhun3
石斑鱼	shi2'ban1'yu2
试映	shi4'ying4
受事	shou4'shi4
叔母	shu1'mu3
树胶	shu4'jiao1
双簧管	shuang1'huang2'guan3
孀居	shuang1'ju1
爽约	shuang3'yue1
睡姿	shui4'zi1
顺脚	shun4'jiao3
说头	shuo1'tou
死记	si3'ji4
四言诗	si4'yan2'shi1
蒜瓣儿	suan4'ban4'er
索求	suo3'qiu2
锁头	suo3'tou2
坦诚相待	tan3'cheng2'xiang1'dai4
炭窑	tan4'yao2
探案	tan4'an4
探伤	tan4'shang1
糖瓜	tang2'gua1
套简	tao4'jian3
体念	ti3'nian4
田赛	tian2'sai4
甜椒	tian2'jiao1
挑三拣四	tiao1'san1'jian3'si4
铁幕	tie3'mu4
通风口	tong1'feng1'kou3
屯积	tun2'ji1
亡失	wang2'shi1
枉自	wang3'zi4
望闻问切	wang4'wen2'wen4'qie4
桅灯	wei2'deng1
尾大不掉	wei3'da4'bu4'diao4
窝赃	wo1'zang1
无机可乘	wu2'ji1'ke3'cheng2
无头案	wu2'tou2'an4
五行八作	wu3'hang2'ba1'zuo1
五伦	wu3'lun2
舞弄	wu3'nong4
物主	wu4'zhu3
痦子	wu4'zi3
细嚼慢咽	xi4'jiao2'man4'ye4
下集	xia4'ji2
纤小	xian1'xiao3
鲜绿	xian1'lv4
闲荡	xian2'dang4
险象	xian3'xiang4
相思鸟	xiang1'si1'niao3
消磁	xiao1'ci2
霄汉	xiao1'han4
小暑	xiao3'shu3
笑窝	xiao4'wo1
效益工资	xiao4'yi4'gong1'zi1
歇凉	xie1'liang2
卸责	xie4'ze2
蟹肉	xie4'rou4
胸膜	xiong1'mo2
胸像	xiong1'xiang4
宣明	xuan1'ming2
学号	xue2'hao4
学徒工	xue2'tu2'gong1
血球	xue4'qiu2
旬日	xun2'ri4
压台	ya1'tai2
鸭苗	ya1'miao2
牙具	ya2'ju4
牙牙学语	ya2'ya2'xue2'yu3
牙印	ya2'yin4
雅意	ya3'yi4
言者无罪	yan2'zhe3'wu2'zui4
