涣然冰释	huan4'ran2'bing1'shi4
黄皮书	huang2'pi2'shu1
悔婚	hui3'hun1
会账	hui4'zhang4
混充	hun4'chong1
豁子	huo1'zi
活结	huo2'jie2
火棒	huo3'bang4
击发	ji1'fa1
积垢	ji1'gou4
极昼	ji2'zhou4
疾言厉色	ji2'yan2'li4'se4
加试	jia1'shi4
家祭	jia1'ji4
捡便宜	jian3'pian2'yi
见阎王	jian4'yan2'wang
腱鞘炎	jian4'qiao4'yan2
讲价钱	jiang3'jia4'qian
犟劲	jiang4'jin4
交通肇事罪	jiao1'tong1'zhao4'shi4'zui4
交验	jiao1'yan4
娇痴	jiao1'chi1
脚注	jiao3'zhu4
揭老底	jie1'lao3'di3
诘难	jie2'nan4
解酒	jie3'jiu3
解扣儿	jie3'kou4'er2
界址	jie4'zhi3
借景	jie4'jing3
金嗓子	jin1'sang3'zi3
进献	jin4'xian4
经售	jing1'shou4
惊艳	jing1'yan4
晶石	jing1'shi2
精饲料	jing1'si4'liao4
敬上	jing4'shang4
旧业	jiu4'ye4
拒载	ju4'zai4
隽语	juan4'yu3
军阶	jun1'jie1
开锣	kai1'luo2
啃书本	ken3'shu1'ben3
空谷足音	kong1'gu3'zu2'yin1
孔方兄	kong3'fang1'xiong1
口条	kou3'tiao2
枯木逢春	ku1'mu4'feng2'chun1
夸海口	kua1'hai3'kou3
匡济	kuang1'ji4
诓骗	kuang1'pian4
愧悔	kui4'hui3
揽权	lan3'quan2
冷暖自知	leng3'nuan3'zi4'zhi1
礼毕	li3'bi4
礼聘	li3'pin4
粒子	li4'zi
连鬓胡子	lian2'bin4'hu2'zi3
连串	lian2'chuan4
连裆裤	lian2'dang1'ku4
连理枝	lian2'li3'zhi1
连跑带跳	lian2'pao3'dai4'tiao4
莲蓬头	lian2'peng2'tou2
联体	lian2'ti3
恋慕	lian4'mu4
晾台	liang4'tai2
僚机	liao2'ji1
撂倒	liao4'dao3
猎具	lie4'ju4
临空	lin2'kong1
