日杂	ri4'za2
入籍	ru4'ji2
三只手	san1'zhi1'shou3
杀价	sha1'jia4
杀戒	sha1'jie4
歃血	sha4'xue4
上操	shang4'cao1
身首异处	shen1'shou3'yi4'chu4
身条儿	shen1'tiao2'er
失道寡助	shi1'dao4'gua3'zhu4
试产	shi4'chan3
受冤	shou4'yuan1
叔伯兄弟	shu1'bai'xiong1'di
耍威风	shua3'wei1'feng1
耍嘴皮子	shua3'zui3'pi2'zi3
搜肠刮肚	sou1'chang2'gua1'du4
速成班	su4'cheng2'ban1
胎记	tai1'ji4
太空舱	tai4'kong1'cang1
糖人儿	tang2'ren2'er
特辑	te4'ji2
天兵	tian1'bing1
天高气爽	tian1'gao1'qi4'shuang3
天条	tian1'tiao2
添设	tian1'she4
甜点	tian2'dian3
铁公鸡	tie3'gong1'ji1
铁箍	tie3'gu1
通关节	tong1'guan1'jie2
同音字	tong2'yin1'zi4
头生	tou2'sheng1
秃鹫	tu1'jiu4
突审	tu1'shen3
土黄	tu3'huang2
推己及人	tui1'ji3'ji2'ren2
拖轮	tuo1'lun2
脱臼	tuo1'jiu4
妄称	wang4'cheng1
妄语	wang4'yu3
微血管	wei1'xue4'guan3
违例	wei2'li4
蔚为大观	wei4'wei2'da4'guan1
无所不用其极	wu2'suo3'bu4'yong4'qi2'ji2
五味子	wu3'wei4'zi3
武装带	wu3'zhuang1'dai4
吸水性	xi1'shui3'xing4
矽肺	xi1'fei4
锡纸	xi1'zhi3
铣工	xi3'gong1
夏历	xia4'li4
线团	xian4'tuan2
襄理	xiang1'li3
响箭	xiang3'jian4
响尾蛇	xiang3'wei3'she2
硝石	xiao1'shi2
卸装	xie4'zhuang1
心头肉	xin1'tou2'rou4
心子	xin1'zi3
新婚燕尔	xin1'hun1'yan4'er3
新论	xin1'lun4
性虐待	xing4'nue4'dai4
性征	xing4'zheng1
凶顽	xiong1'wan2
秀媚	xiu4'mei4
秀外慧中	xiu4'wai4'hui4'zhong1
徐步	xu2'bu4
悬棺	xuan2'guan1
旋子	xuan4'zi
雪豹	xue3'bao4
熏鱼	xun1'yu2
鸭肉	ya1'rou4
烟波浩渺	yan1'bo1'hao4'miao3
阎王殿	yan2'wang'dian4
洋蜡	yang2'la4
仰卧起坐	yang3'wo4'qi3'zuo4
养颜	yang3'yan2
叶公好龙	ye4'gong1'hao4'long2
颐养天年	yi2'yang3'tian1'nian2
舆图	yu2'tu2
与民同乐	yu3'min2'tong2'le4
雨具	yu3'ju4
雨区	yu3'qu1
月息	yue4'xi1
越职	yue4'zhi2
云翳	yun2'yi4
运动衫	yun4'dong4'shan1
赞佩	zan4'pei4
毡包	zhan1'bao1
长上	zhang3'shang4
折叠椅	zhe2'die2'yi3
甄选	zhen1'xuan3
诊脉	zhen3'mai4
镇纸	zhen4'zhi3
整流	zheng3'liu2
指甲盖儿	zhi3'jia'gai4'er
制表	zhi4'biao3
专门家	zhuan1'men2'jia1
转呈	zhuan3'cheng2
转忧为喜	zhuan3'you1'wei2'xi3
壮苗	zhuang4'miao2
足赤	zu2'chi4
组合式	zu3'he2'shi4
组合音响	zu3'he2'yin1'xiang3
柞树	zuo4'shu4
做证	zuo4'zheng4
白干儿	bai2'gan1'er
扳动	ban1'dong4
半斤八两	ban4'jin1'ba1'liang3
雹灾	bao2'zai1
北京鸭	bei3'jing1'ya1
背约	bei4'yue1
被难	bei4'nan4
壁龛	bi4'kan1
标准件	biao1'zhun3'jian4
表演唱	biao3'yan3'chang4
