敬候	jing4'hou4
酒力	jiu3'li4
巨奖	ju4'jiang3
具文	ju4'wen2
聚谈	ju4'tan2
绢丝	juan4'si1
眷眷	juan4'juan4
俊伟	jun4'wei3
开山祖师	kai1'shan1'zu3'shi1
开印	kai1'yin4
看扁	kan4'bian3
抗涝	kang4'lao4
抗凝	kang4'ning2
骒马	ke4'ma3
宽心丸	kuan1'xin1'wan2
馈线	kui4'xian4
坤表	kun1'biao3
拉活	la1'huo2
来件	lai2'jian4
来事	lai2'shi4
拦洪坝	lan2'hong2'ba4
狼奔豕突	lang2'ben1'shi3'tu1
浪迹江湖	lang4'ji4'jiang1'hu2
老本行	lao3'ben3'hang2
离心泵	li2'xin1'beng4
连词	lian2'ci2
练笔	lian4'bi3
恋乡	lian4'xiang1
良才	liang2'cai2
良心话	liang2'xin1'hua4
凉帽	liang2'mao4
两面三刀	liang3'mian4'san1'dao1
疗救	liao2'jiu4
聊表	liao2'biao3
劣马	lie4'ma3
临渊羡鱼	lin2'yuan1'xian4'yu2
淋巴腺	lin2'ba1'xian4
绫罗	ling2'luo2
留尾巴	liu2'wei3'ba
炉箅子	lu2'bi4'zi3
路霸	lu4'ba4
屡次三番	lv3'ci4'san1'fan1
绿豆蝇	lv4'dou4'ying2
绿松石	lv4'song1'shi2
略语	lue4'yu3
罗汉果	luo2'han4'guo3
络腮胡	luo4'sai1'hu2
买价	mai3'jia4
卖嘴	mai4'zui3
满师	man3'shi1
螨虫	man3'chong2
毛布	mao2'bu4
毛葛	mao2'ge2
毛活	mao2'huo2
铆焊	mao3'han4
铆接	mao3'jie1
没臊	mei2'sao4
霉天	mei2'tian1
门面话	men2'mian4'hua4
蒙药	meng2'yao4
棉猴儿	mian2'hou2'er
棉毛衫	mian2'mao2'shan1
面码儿	mian4'ma3'er
泯没	min3'mo4
命途多舛	ming4'tu2'duo1'chuan3
摸门儿	mo1'men2'er
木立	mu4'li4
墓冢	mu4'zhong3
拿大顶	na2'da4'ding3
拿刀动仗	na2'dao1'dong4'zhang4
奶腥	nai3'xing1
挠钩	nao2'gou1
脑积水	nao3'ji1'shui3
脑体倒挂	nao3'ti3'dao4'gua4
拈阄	nian1'jiu1
尿壶	niao4'hu2
农轻重	nong2'qing1'zhong4
女儿墙	nv3'er2'qiang2
盘空	pan2'kong1
盘马弯弓	pan2'ma3'wan1'gong1
判读	pan4'du2
判分	pan4'fen1
跑反	pao3'fan3
泡泡纱	pao4'pao'sha1
盆腔炎	pen2'qiang1'yan2
偏饭	pian1'fan4
偏题	pian1'ti2
骗腿	pian4'tui3
朴厚	pu3'hou4
期考	qi1'kao3
漆布	qi1'bu4
乞巧	qi3'qiao3
器用	qi4'yong4
潜踪	qian2'zong1
浅说	qian3'shuo1
遣词造句	qian3'ci2'zao4'ju4
欠火	qian4'huo3
欠资	qian4'zi1
强击	qiang2'ji1
乔扮	qiao2'ban4
桥基	qiao2'ji1
翘辫子	qiao4'bian4'zi
轻油	qing1'you2
清润	qing1'run4
清挖	qing1'wa1
清誉	qing1'yu4
秋装	qiu1'zhuang1
犰狳	qiu2'yu2
球坛	qiu2'tan2
祛痰	qu1'tan2
劬劳	qu2'lao2
去芜存菁	qu4'wu2'cun2'jing1
全始全终	quan2'shi3'quan2'zhong1
劝让	quan4'rang4
群口相声	qun2'kou3'xiang4'sheng
群氓	qun2'meng2
群言堂	qun2'yan2'tang2
人造棉	ren2'zao4'mian2
日晕	ri4'yun4
日臻完美	ri4'zhen1'wan2'mei3
冗杂	rong3'za2
如花似锦	ru2'hua1'si4'jin3
孺子可教	ru2'zi3'ke3'jiao4
弱不胜衣	ruo4'bu4'sheng4'yi1
三角铁	san1'jiao3'tie3
伞骨	san3'gu3
散摊子	san4'tan1'zi
丧假	sang1'jia3
杀熟	sha1'shu2
砂罐	sha1'guan4
煞费心机	sha4'fei4'xin1'ji1
色酒	shai3'jiu3
珊瑚虫	shan1'hu2'chong2
伤耗	shang1'hao4
商约	shang1'yue1
申讨	shen1'tao3
审校	shen3'xiao4
实言相告	shi2'yan2'xiang1'gao4
拾物	shi2'wu4
食品街	shi2'pin3'jie1
是味儿	shi4'wei4'er
舐犊情深	shi4'du2'qing2'shen1
收方	shou1'fang1
收银台	shou1'yin2'tai2
寿斑	shou4'ban1
寿幛	shou4'zhang4
受粉	shou4'fen3
疏狂	shu1'kuang2
耍花样	shua3'hua1'yang4
耍心眼儿	shua3'xin1'yan3'er
栓剂	shuan1'ji4
水平仪	shui3'ping2'yi2
顺叙	shun4'xu4
说好说歹	shuo1'hao3'shuo1'dai3
私愤	si1'fen4
死不悔改	si3'bu4'hui3'gai3
宿疾	su4'ji2
算尺	suan4'chi3
随份子	sui2'fen4'zi3
遂意	sui4'yi4
索酬	suo3'chou2
太阳灯	tai4'yang2'deng1
贪大求洋	tan1'da4'qiu2'yang2
贪小失大	tan1'xiao3'shi1'da4
炭笔	tan4'bi3
