损人	sun3'ren2
胎盘	tai1'pan2
探询	tan4'xun2
体恤	ti3'xu4
危言耸听	wei1'yan2'song3'ting1
舞步	wu3'bu4
下端	xia4'duan1
香油	xiang1'you2
心迹	xin1'ji4
烟锅	yan1'guo1
筵席	yan2'xi2
阳历	yang2'li4
养母	yang3'mu3
音韵	yin1'yun4
氤氲	yin1'yun1
鱼雷	yu2'lei2
运筹帷幄	yun4'chou2'wei2'wo4
治病救人	zhi4'bing4'jiu4'ren2
中校	zhong1'xiao4
主战	zhu3'zhan4
专一	zhuan1'yi1
撞见	zhuang4'jian4
哀愁	ai1'chou2
帮凶	bang1'xiong1
毕恭毕敬	bi4'gong1'bi4'jing4
不谋而合	bu4'mou2'er2'he2
撤除	che4'chu2
从速	cong2'su4
粗心	cu1'xin1
催人泪下	cui1'ren2'lei4'xia4
倒影	dao4'ying3
调用	diao4'yong4
斗牛	dou4'niu2
发青	fa1'qing1
番薯	fan1'shu3
风景画	feng1'jing3'hua4
复制品	fu4'zhi4'pin3
工整	gong1'zheng3
共同语	gong4'tong2'yu3
拐子	guai3'zi3
广播站	guang3'bo1'zhan4
花厅	hua1'ting1
饥寒	ji1'han2
金币	jin1'bi4
旧情	jiu4'qing2
康健	kang1'jian4
客运量	ke4'yun4'liang4
烙饼	lao4'bing3
卖国贼	mai4'guo2'zei2
门球	men2'qiu2
面皮	mian4'pi2
泼墨	po1'mo4
漆器	qi1'qi4
抢手	qiang3'shou3
亲切感	qin1'qie4'gan3
屈居	qu1'ju1
权当	quan2'dang1
三民主义	san1'min2'zhu3'yi4
珊瑚礁	shan1'hu2'jiao1
深色	shen1'se4
深信不疑	shen1'xin4'bu4'yi2
饰物	shi4'wu4
首座	shou3'zuo4
受旱	shou4'han4
顺路	shun4'lu4
天灾人祸	tian1'zai1'ren2'huo4
添彩	tian1'cai3
调教	tiao2'jiao4
跳马	tiao4'ma3
下限	xia4'xian4
闲适	xian2'shi4
小肠	xiao3'chang2
心有余悸	xin1'you3'yu2'ji4
汹涌澎湃	xiong1'yong3'peng2'pai4
虚掩	xu1'yan3
依仗	yi1'zhang4
银白	yin2'bai2
影剧院	ying3'ju4'yuan4
游移	you2'yi2
原址	yuan2'zhi3
阅览	yue4'lan3
云朵	yun2'duo3
征婚	zheng1'hun1
周游	zhou1'you2
不羁	bu4'ji1
床头柜	chuang2'tou2'gui4
得势	de2'shi4
豆花儿	dou4'hua1'er
耳根	er3'gen1
发明家	fa1'ming2'jia1
翻转	fan1'zhuan3
分心	fen1'xin1
复婚	fu4'hun1
赶场	gan3'chang2
更衣	geng1'yi1
孤老	gu1'lao3
会务	hui4'wu4
火炕	huo3'kang4
家庭妇女	jia1'ting2'fu4'nv3
甲壳	jia3'qiao4
解嘲	jie3'chao2
戒心	jie4'xin1
紧俏	jin3'qiao4
精粹	jing1'cui4
聚合物	ju4'he2'wu4
历法	li4'fa3
流离失所	liu2'li2'shi1'suo3
论争	lun4'zheng1
面熟	mian4'shu2
楠木	nan2'mu4
牛角	niu2'jiao3
皮子	pi2'zi3
瓶装	ping2'zhuang1
破费	po4'fei4
强占	qiang2'zhan4
