分野	fen1'ye3
风花雪月	feng1'hua1'xue3'yue4
逢场作戏	feng2'chang3'zuo4'xi4
辅料	fu3'liao4
复函	fu4'han2
刚劲	gang1'jing4
钢刀	gang1'dao1
共济	gong4'ji4
供认不讳	gong4'ren4'bu4'hui4
古刹	gu3'sha1
咣当	guang1'dang1
汉白玉	han4'bai2'yu4
何须	he2'xu1
核战争	he2'zhan4'zheng1
回环	hui2'huan2
悔罪	hui3'zui4
济贫	ji4'pin2
奸污	jian1'wu1
降格	jiang4'ge2
精到	jing1'dao4
警戒水位	jing3'jie4'shui3'wei4
决然	jue2'ran2
绝唱	jue2'chang4
爵士乐	jue2'shi4'yue4
军职	jun1'zhi2
溃退	kui4'tui4
雷池	lei2'chi2
类人猿	lei4'ren2'yuan2
冷嘲热讽	leng3'chao2're4'feng3
楼台	lou2'tai2
美轮美奂	mei3'lun2'mei3'huan4
米老鼠	mi3'lao3'shu3
默默无言	mo4'mo4'wu2'yan2
内省	nei4'xing3
内宅	nei4'zhai2
牛皮纸	niu2'pi2'zhi3
农膜	nong2'mo2
女强人	nv3'qiang2'ren2
磐石	pan2'shi2
披红	pi1'hong2
清雅	qing1'ya3
求全责备	qiu2'quan2'ze2'bei4
瘸子	que2'zi3
僧尼	seng1'ni2
赏玩	shang3'wan2
寿终正寝	shou4'zhong1'zheng4'qin3
疏密	shu1'mi4
水印	shui3'yin4
私心杂念	si1'xin1'za2'nian4
松绑	song1'bang3
踏勘	ta4'kan1
贪心	tan1'xin1
堂叔	tang2'shu1
投河	tou2'he2
土崩瓦解	tu3'beng1'wa3'jie3
土豪劣绅	tu3'hao2'lie4'shen1
脱氧核糖核酸	tuo1'yang3'he2'tang2'he2'suan1
万花筒	wan4'hua1'tong3
万马奔腾	wan4'ma3'ben1'teng2
卫戍区	wei4'shu4'qu1
五岳	wu3'yue4
西晋	xi1'jin4
细菌战	xi4'jun1'zhan4
相碰	xiang1'peng4
小气候	xiao3'qi4'hou4
小指	xiao3'zhi3
笑颜	xiao4'yan2
卸车	xie4'che1
心志	xin1'zhi4
血肉相连	xue4'rou4'xiang1'lian2
巡防	xun2'fang2
言和	yan2'he2
夜游	ye4'you2
一锤定音	yi1'chui2'ding4'yin1
疑案	yi2'an4
宇宙观	yu3'zhou4'guan1
雨带	yu3'dai4
月均	yue4'jun1
孕期	yun4'qi1
藏历	zang4'li4
战例	zhan4'li4
招摇过市	zhao1'yao2'guo4'shi4
折中	zhe2'zhong1
征伐	zheng1'fa2
壮乡	zhuang4'xiang1
自来水笔	zi4'lai2'shui3'bi3
恣肆	zi4'si4
白纸黑字	bai2'zhi3'hei1'zi4
般配	ban1'pei4
包罗万象	bao1'luo2'wan4'xiang4
保藏	bao3'cang2
奔袭	ben1'xi2
鼻翼	bi2'yi4
兵书	bing1'shu1
参观团	can1'guan1'tuan2
插口	cha1'kou3
成家立业	cheng2'jia1'li4'ye4
吃拿卡要	chi1'na2'ka3'yao4
粗重	cu1'zhong4
存续	cun2'xu4
大出血	da4'chu1'xue4
大喜过望	da4'xi3'guo4'wang4
当红	dang1'hong2
倒腾	dao3'teng
点明	dian3'ming2
调配	diao4'pei4
多动症	duo1'dong4'zheng4
发自肺腑	fa1'zi4'fei4'fu3
抚今追昔	fu3'jin1'zhui1'xi1
府第	fu3'di4
高矮	gao1'ai3
高高低低	gao1'gao1'di1'di1
歌功颂德	ge1'gong1'song4'de2
恭听	gong1'ting1
鼓捣	gu3'dao3
拐棍儿	guai3'gun4'er2
归罪于	gui1'zui4'yu2
闺房	gui1'fang2
行会	hang2'hui4
滑梯	hua2'ti1
婚嫁	hun1'jia4
机油	ji1'you2
疾步	ji2'bu4
济世	ji4'shi4
艰深	jian1'shen1
见仁见智	jian4'ren2'jian4'zhi4
箭步	jian4'bu4
交通线	jiao1'tong1'xian4
脚本	jiao3'ben3
校样	jiao4'yang4
教工	jiao4'gong1
洁身自好	jie2'shen1'zi4'hao4
结拜	jie2'bai4
惊悉	jing1'xi1
精确度	jing1'que4'du4
卷发	juan3'fa1
军地	jun1'de
军烈属	jun1'lie4'shu3
犒赏	kao4'shang3
空城计	kong1'cheng2'ji4
空降兵	kong1'jiang4'bing1
连珠炮	lian2'zhu1'pao4
漫谈	man4'tan2
眉清目秀	mei2'qing1'mu4'xiu4
眉心	mei2'xin1
米色	mi3'se4
密报	mi4'bao4
民气	min2'qi4
呐喊助威	na4'han3'zhu4'wei1
脑浆	nao3'jiang1
浓妆	nong2'zhuang1
弄巧成拙	nong4'qiao3'cheng2'zhuo1
蟠桃	pan2'tao2
频段	pin2'duan4
岂料	qi3'liao4
起泡	qi3'pao4
前襟	qian2'jin1
请托	qing3'tuo1
穷追不舍	qiong2'zhui1'bu4'she3
屈死	qu1'si3
瘸腿	que2'tui3
任人唯亲	ren4'ren2'wei2'qin1
乳名	ru3'ming2
乳罩	ru3'zhao4
扫毒	sao3'du2
墒情	shang1'qing2
奢糜;奢靡	she1'mi2
胜算	sheng4'suan4
识大体	shi2'da4'ti3
手推车	shou3'tui1'che1
首义	shou3'yi4
水闸	shui3'zha2
私货	si1'huo4
似懂非懂	si4'dong3'fei1'dong3
松枝	song1'zhi1
速生	su4'sheng1
探头探脑	tan4'tou2'tan4'nao3
同学会	tong2'xue2'hui4
投宿	tou2'su4
拓荒	tuo4'huang1
万里长征	wan4'li3'chang2'zheng1
万有引力	wan4'you3'yin3'li4
猥琐	wei3'suo3
物价指数	wu4'jia4'zhi3'shu4
西洋画	xi1'yang2'hua4
喜上眉梢	xi3'shang4'mei2'shao1
效死	xiao4'si3
休学	xiu1'xue2
修道	xiu1'dao4
牙科	ya2'ke1
言听计从	yan2'ting1'ji4'cong2
眼波	yan3'bo1
一般见识	yi1'ban1'jian4'shi
迎来送往	ying2'lai2'song4'wang3
应景	ying4'jing3
硬邦邦	ying4'bang1'bang1
油区	you2'qu1
幼教	you4'jiao4
余光	yu2'guang1
与生俱来	yu3'sheng1'ju4'lai2
造物主	zao4'wu4'zhu3
责罚	ze2'fa2
渣子	zha1'zi3
遮天蔽日	zhe1'tian1'bi4'ri4
阵子	zhen4'zi3
直译	zhi2'yi4
指令性计划	zhi3'ling4'xing4'ji4'hua4
皱巴巴	zhou4'ba1'ba1
竹椅	zhu2'yi3
追堵	zhui1'du3
追剿	zhui1'jiao3
准将	zhun3'jiang4
捉迷藏	zhuo1'mi2'cang2
孜孜	zi1'zi1
走漏	zou3'lou4
醉汉	zui4'han4
作词	zuo4'ci2
剥蚀	bo1'shi2
补药	bu3'yao4
惨然	can3'ran2
插足	cha1'zu2
炒面	chao3'mian4
陈迹	chen2'ji4
吃大锅饭	chi1'da4'guo1'fan4
重播	chong2'bo1
出题	chu1'ti2
出线权	chu1'xian4'quan2
次官	ci4'guan1
从优	cong2'you1
从众	cong2'zhong4
打问	da3'wen4
大幸	da4'xing4
丹田	dan1'tian2
眈眈	dan1'dan1
道岔	dao4'cha4
东拉西扯	dong1'la1'xi1'che3
嘟噜	du1'lu1
对襟	dui4'jin1
多发病	duo1'fa1'bing4
恩典	en1'dian3
反向	fan3'xiang4
放晴	fang4'qing2
丰沛	feng1'pei4
风马牛不相及	feng1'ma3'niu2'bu4'xiang1'ji2
浮萍	fu2'ping2
附设	fu4'she4
感同身受	gan3'tong2'shen1'shou4
干将	gan4'jiang4
更衣室	geng1'yi1'shi4
鼓手	gu3'shou3
故园	gu4'yuan2
瓜皮	gua1'pi2
过继	guo4'ji4
哈尼族	ha1'ni2'zu2
好人主义	hao3'ren2'zhu3'yi4
合十	he2'shi2
红松	hong2'song1
鸿雁	hong2'yan4
户口本	hu4'kou3'ben3
护驾	hu4'jia4
怀胎	huai2'tai1
环状	huan2'zhuang4
毁于一旦	hui3'yu2'yi1'dan4
火鸡	huo3'ji1
火炬计划	huo3'ju4'ji4'hua4
剂型	ji4'xing2
家财	jia1'cai2
甲胄	jia3'zhou4
假惺惺	jia3'xing1'xing1
健美操	jian4'mei3'cao1
交流电	jiao1'liu2'dian4
郊野	jiao1'ye3
叫法	jiao4'fa3
解手	jie3'shou3
