开伙	kai1'huo3
开溜	kai1'liu1
抗皱	kang4'zhou4
炕几	kang4'ji3
克尽职守	ke4'jin4'zhi2'shou3
孔穴	kong3'xue2
口谕	kou3'yu4
叩见	kou4'jian4
款留	kuan3'liu2
矿层	kuang4'ceng2
拉后腿	la1'hou4'tui3
拉洋片	la1'yang2'pian1
癞痢	la4'li4
懒骨头	lan3'gu3'tou
烂泥塘	lan4'ni2'tang2
捞饭	lao1'fan4
冷丝丝	leng3'si1'si1
里院	li3'yuan4
俚歌	li3'ge1
利滚利	li4'gun3'li4
敛迹	lian3'ji4
梁上君子	liang2'shang4'jun1'zi3
两厢情愿	liang3'xiang1'qing2'yuan4
六一国际儿童节	liu4'yi1'guo2'ji4'er2'tong2'jie2
遛早儿	liu4'zao3'er
龙须草	long2'xu1'cao3
鲁菜	lu3'cai4
乱党	luan4'dang3
论敌	lun4'di2
罗汉豆	luo2'han4'dou4
抹脸	ma1'lian3
马路新闻	ma3'lu4'xin1'wen2
满勤	man3'qin2
铆劲儿	mao3'jin4'er
没样儿	mei2'yang4'er
梅干菜	mei2'gan1'cai4
霉雨	mei2'yu3
米粉肉	mi3'fen3'rou4
棉绒	mian2'rong2
棉套	mian2'tao4
面晤	mian4'wu4
名嘴	ming2'zui3
冥寿	ming2'shou4
纳罕	na4'han3
南式	nan2'shi4
南味儿	nan2'wei4'er2
内亲	nei4'qin1
蔫巴	nian1'ba1
黏附	nian2'fu4
排号	pai2'hao4
排气扇	pai2'qi4'shan4
刨除	pao2'chu2
配给制	pei4'ji3'zhi4
配楼	pei4'lou2
膨体纱	peng2'ti3'sha1
啤酒肚	pi2'jiu3'du4
偏护	pian1'hu4
片纸只字	pian4'zhi3'zhi1'zi4
姘夫	pin1'fu1
平方根	ping2'fang1'gen1
平角	ping2'jiao3
平装本	ping2'zhuang1'ben3
谱表	pu3'biao3
漆树	qi1'shu4
奇光异彩	qi2'guang1'yi4'cai3
棋苑	qi2'yuan4
起讫	qi3'qi4
气锤	qi4'chui2
弃舍	qi4'she3
牵牛星	qian1'niu2'xing1
芡实	qian4'shi2
茜草	qian4'cao3
抢镜头	qiang3'jing4'tou2
抢嘴	qiang3'zui3
桥拱	qiao2'gong3
寝具	qin3'ju4
清神	qing1'shen2
祛暑	qu1'shu3
韧度	ren4'du4
软磁盘	ruan3'ci2'pan2
三重唱	san1'chong2'chang4
三联单	san1'lian2'dan1
三亲六故	san1'qin1'liu4'gu4
三灾八难	san1'zai1'ba1'nan4
杀鸡吓猴	sha1'ji1'xia4'hou2
傻劲儿	sha3'jin4'er
上感	shang4'gan3
上眼药	shang4'yan3'yao4
涉讼	she4'song4
麝牛	she4'niu2
伸头探脑	shen1'tou2'tan4'nao3
省志	sheng3'zhi4
失音	shi1'yin1
石花菜	shi2'hua1'cai4
食积	shi2'ji1
示例	shi4'li4
收讫	shou1'qi4
收文	shou1'wen2
受话器	shou4'hua4'qi4
舒散	shu1'san4
树丫	shu4'ya1
死缠硬磨	si3'chan2'ying4'mo2
四舍五入	si4'she3'wu3'ren2
四则运算	si4'ze2'yun4'suan4
苏剧	su1'ju4
俗尚	su2'shang4
泰山北斗	tai4'shan1'bei3'dou3
贪天之功	tan1'tian1'zhi1'gong1
碳素钢	tan4'su4'gang1
汤泉	tang1'quan2
汤头歌	tang1'tou2'ge1
陶工	tao2'gong1
体尝	ti3'chang2
天公地道	tian1'gong1'di4'dao4
停食	ting2'shi2
铜锈	tong2'xiu4
童子鸡	tong2'zi3'ji1
凸版	tu1'ban3
图鉴	tu2'jian4
土俗	tu3'su2
土性	tu3'xing4
推头	tui1'tou2
外钞	wai4'chao1
外径	wai4'jing4
豌豆黄	wan1'dou4'huang2
王浆	wang2'jiang1
网络电话	wang3'luo4'dian4'hua4
望风披靡	wang4'feng1'pi1'mi3
微末	wei1'mo4
帏幕	wei2'mu4
尾椎	wei3'zhui1
卫生香	wei4'sheng1'xiang1
卫生衣	wei4'sheng1'yi1
卫星站	wei4'xing1'zhan4
畏光	wei4'guang1
文教界	wen2'jiao4'jie4
文思泉涌	wen2'si1'quan2'yong3
窝主	wo1'zhu3
无伤大体	wu2'shang1'da4'ti3
鼯鼠	wu2'shu3
捂盖子	wu3'gai4'zi
婺剧	wu4'ju4
西番莲	xi1'fan1'lian2
嬉耍	xi1'shua3
洗涤灵	xi3'di2'ling2
洗发剂	xi3'fa1'ji4
戏侮	xi4'wu3
细溜溜	xi4'liu1'liu1
瑕瑜互见	xia2'yu2'hu4'xian4
下存	xia4'cun2
下账	xia4'zhang4
弦乐队	xian2'yue4'dui4
显能	xian3'neng2
晓行夜宿	xiao3'xing2'ye4'su4
歇伏	xie1'fu2
邪财	xie2'cai2
邪行	xie2'xing2
胁肩谄笑	xie2'jian1'chan3'xiao4
信而有征	xin4'er2'you3'zheng1
信号枪	xin4'hao4'qiang1
行楷	xing2'kai3
胸饰	xiong1'shi4
虚礼	xu1'li3
序论	xu4'lun4
旋梯	xuan2'ti1
押题	ya1'ti2
牙缸	ya2'gang1
牙周炎	ya2'zhou1'yan2
雅皮士	ya3'pi2'shi4
雅正	ya3'zheng4
严控	yan2'kong4
羊羹	yang2'geng1
洋里洋气	yang2'li3'yang2'qi4
摇鹅毛扇	yao2'e2'mao2'shan4
药茶	yao4'cha2
药捻子	yao4'nian3'zi3
冶铸	ye3'zhu4
野山参	ye3'shan1'can1
野雉	ye3'zhi4
腋毛	ye4'mao2
一脉相通	yi1'mai4'xiang1'tong1
一顺儿	yi1'shun4'er
一无所见	yi1'wu2'suo3'jian4
一无所求	yi1'wu2'suo3'qiu2
衣不解带	yi1'bu4'jie3'dai4
饴糖	yi2'tang2
以资鼓励	yi3'zi1'gu3'li4
蚁后	yi3'hou4
议而不决	yi4'er2'bu4'jue2
阴阳人	yin1'yang2'ren2
音控	yin1'kong4
印色	yin4'se
印油	yin4'you2
影写	ying3'xie3
硬席	ying4'xi2
泳帽	yong3'mao4
油脂麻花	you2'zhi'ma2'hua1
有辙	you3'zhe2
幼雏	you4'chu2
幼畜	you4'chu4
釉质	you4'zhi4
釉子	you4'zi3
鱼花	yu2'hua1
与虎谋皮	yu3'hu3'mou2'pi2
月黑天	yue4'hei1'tian1
月例	yue4'li4
云遮雾障	yun2'zhe1'wu4'zhang4
运动袜	yun4'dong4'wa4
